geo_id,circ_name,leg_reg,pres_reg,voters,valid_votes,blank,canceled,pres_turnout,leg_turnout,turnout_difference,sebsi,marzouki,sebsi_per,marzouki_per,ecart_s_m
111,Tunis1,244599,244599,168188,164418,1320,2450,68.76,72.06,-3.30,64166,54884,39.03,33.38,16.91
112,Tunis2,275611,275611,206887,203999,934,1954,75.06,78.15,-3.09,111044,47362,54.43,23.22,134.46
120,Ariana,246497,246497,173876,171137,981,1758,70.54,73.74,-3.20,81684,46502,47.73,27.17,75.66
140,Manouba,168242,168242,112262,109134,846,2282,66.73,71.00,-4.27,43083,35121,39.48,32.18,22.67
130,BenArous,294292,294292,214549,211357,1171,2021,72.90,75.99,-3.09,84593,67753,40.02,32.06,24.85
160,Zaghouane,80693,80693,48556,47053,493,1010,60.17,69.03,-8.86,20473,12547,43.51,26.67,63.17
220,Jendouba,166633,166233,94814,90594,881,3339,57.04,64.00,-6.96,44423,19391,49.04,21.40,129.09
230,LeKef,118941,118941,71819,68615,971,2233,60.38,66.46,-6.08,36328,12612,52.94,18.38,188.04
240,Siliana,97460,97460,55531,53497,560,1474,56.98,63.49,-6.51,17706,8654,33.10,16.18,104.60
170,Bizerte,241696,241696,154851,150485,1250,3116,64.07,68.09,-4.02,63688,48357,42.32,32.13,31.70
210,Beja,131770,131770,80173,76293,1109,2771,60.84,65.78,-4.94,38333,16839,50.24,22.07,127.64
151,Nabeul1,204301,204301,142678,139772,999,1907,69.84,75.57,-5.73,71581,28394,51.21,20.31,152.10
152,Nabeul2,165611,165611,113520,110937,808,1775,68.55,75.00,-6.45,58368,22842,52.61,20.59,155.53
410,Kairouan,215140,215140,119509,115614,1007,2888,55.55,61.69,-6.14,34928,38745,30.21,33.51,-10.93
420,Kasserine,185409,185409,101587,98008,781,2798,54.79,60.51,-5.72,26556,34825,27.10,35.53,-31.14
430,SidiBouzid,197584,197584,109454,107057,690,1707,55.40,59.99,-4.59,20302,11163,18.96,10.43,81.87
610,Gafsa,162528,162528,96952,95291,559,1102,59.65,66.92,-7.27,23345,44453,24.50,46.65,-90.42
620,Tozeur,61044,61044,36563,35760,299,504,59.90,64.18,-4.28,8702,20306,24.33,56.78,-133.35
630,Kebili,84406,84406,59260,58001,531,728,70.21,69.52,0.69,6991,45239,12.05,78.00,-547.10
310,Sousse,292301,292301,199985,196562,1095,2328,68.42,74.46,-6.04,99341,50348,50.54,25.61,97.31
330,Mahdia,163839,163839,101278,98797,816,1665,61.82,71.80,-9.98,50836,23871,51.46,24.16,112.96
320,Monastir,254487,254487,173004,170621,773,1610,67.98,74.24,-6.26,101545,35489,59.51,20.80,186.13
341,Sfax1,192427,192427,130899,129021,548,1330,68.03,73.88,-5.85,36652,58486,28.41,45.33,-59.57
342,Sfax2,248382,248382,179976,177744,686,1546,72.46,76.61,-4.15,61975,72321,34.87,40.69,-16.69
520,Medenine,193797,193797,124220,122342,513,1365,64.10,67.35,-3.25,18475,82689,15.10,67.59,-347.57
510,Gabes,178564,178564,120580,118182,780,1618,67.53,68.45,-0.92,18319,80729,15.50,68.31,-340.68
530,Tataouine,59752,59752,34909,34201,255,453,58.42,61.62,-3.20,3348,26017,9.79,76.07,-677.09
,France1,81465,81465,39727,39495,137,95,48.77,48.36,0.41,14811,16563,37.50,41.94,-11.83
,France2,114192,114192,31878,31592,138,148,27.92,27.56,0.36,13836,11224,43.80,35.53,23.27
,Allemagne,25575,25575,7040,7018,7,15,27.53,29.14,-1.61,2067,3308,29.45,47.14,-60.04
,Italie,54072,54072,6848,6797,18,33,12.66,13.34,-0.68,1956,3127,28.78,46.01,-59.87
,PaysArabesetrestedumonde,32182,32182,12599,12543,28,28,39.15,37.78,1.37,4199,5817,33.48,46.38,-38.53
,Amériqueetrestedel'Europe,52605,52605,15694,15632,25,37,29.83,29.81,0.02,5730,6440,36.66,41.20,-12.39
666,TOTAL,5286097,5285697,3339666,3267569,22009,50088,63.18,67.71,-4.53,1289384,1092418,39.46,33.43,18.03
