circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أمل تونس,اتحاد الشباب الديمقراطي التونسي,الاتحاد الوطني الحر,الاتحاد من أجل تونس,التحالف الديمقراطي,التحدي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الدخلة للعمل والعدالة والتنمية,الريادة,الشعب يريد,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,تميز,تونس العزيزة,تيار المحبة,جبهة 17 ديسمبر للتنمية,حركة البديل,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي ,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب المجد,حزب حركة الجمهورية,صوت شعب تونس,قائمة سامي بالحاج,observers
11,9,5,156,4,577,466,700,0,234,234,466,700,0,0,464,1,1,466,0,False,,2130,45,0,0,15,1,0,0,0,17,13,0,1,0,0,0,0,0,0,0,7,7,0,3,0,0,0,1,0,0,49,300,2,1,1,1,0,حركة النهضة:1  صوت شعب تونس:1  حركة نداء تونس:1  المبادرة:1  
11,9,5,156,3,575,512,702,31,159,190,512,702,0,0,508,4,0,512,0,False,18:45,22:15,37,0,1,13,0,5,0,6,20,9,0,0,0,5,0,0,0,3,0,4,4,0,1,1,0,0,1,1,2,70,322,2,1,0,0,0,حركة النهضة:1  المبادرة:1  آفاق تونس:1  اتحاد الوطني الحر:1  حركة نداء تونس:2  المؤتمر من أجل الجمهورية:1  
11,9,5,156,2,575,523,707,61,123,184,523,707,0,0,519,3,1,523,0,False,1820,2319,1,1,1,4,2,2,1,2,6,9,2,0,1,14,0,1,0,0,1,2,7,2,8,0,0,0,1,1,1,94,316,0,1,4,3,1,آفاق تونس:1  المبادرة:2  حركة نداء تونس:1  حركة النهضة:1  
11,9,5,156,1,575,523,700,0,177,177,523,700,0,0,516,5,2,523,0,False,19,21:30,24,0,0,2,5,2,2,3,5,12,0,0,0,3,0,1,0,1,0,1,7,3,4,1,0,2,3,1,2,69,356,3,1,1,2,0,حركة النهضة:2  حركة نداء تونس:2  المبادرة:1  اتحاد الوطني الحر:1  تونس العزيزة:1  
11,9,5,155,7,531,424,600,0,176,176,424,600,0,0,421,2,1,424,0,False,1825,2230,35,1,0,14,3,3,0,2,11,14,0,0,0,9,1,0,0,0,0,7,3,0,2,0,0,1,0,0,1,38,271,2,0,0,3,0,حركة نداء تونس:1  حركة النهضة:1  
11,9,5,155,6,537,391,600,0,209,209,391,600,0,0,391,0,0,391,0,False,1915,2230,41,0,0,14,2,3,0,0,10,8,1,0,1,5,0,0,0,1,0,10,3,1,3,1,1,0,1,0,1,53,226,2,0,0,3,0,التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  
11,9,5,155,5,537,439,600,0,161,161,439,600,0,0,437,0,2,439,0,False,1840,2130,39,0,0,7,0,2,0,1,12,5,0,0,0,5,1,0,0,0,0,3,7,0,3,1,1,0,0,0,0,61,282,2,4,0,2,0,حركة نداء تونس:1  حركة النهضة:1  تونس العزيزة:1  اتحاد الوطني الحر:1  الحزب الجمهوري:1  
11,9,5,155,4,537,471,626,0,155,155,471,626,0,0,468,0,3,471,0,False,19:30,22,27,1,1,14,0,0,0,4,15,19,0,0,0,11,0,0,0,0,0,4,4,0,4,4,0,0,0,0,2,72,272,4,3,0,6,1,آفاق تونس:1  حركة نداء تونس:1  حركة النهضة:1  
11,9,5,155,3,537,462,596,0,134,134,462,596,0,0,450,11,1,462,0,False,1900,2200,24,1,0,8,4,5,0,1,3,20,0,1,0,8,1,1,0,1,1,7,5,0,5,3,0,1,0,0,3,90,247,4,3,0,3,0,تونس العزيزة:1  حركة نداء تونس:1  صوت شعب تونس:1  حركة النهضة:1  التكتل من أجل العمل والحريات:1  اتحاد الوطني الحر:1  
11,9,5,155,2,537,491,600,3,107,110,490,600,0,1,478,10,2,490,0,False,1800,2200,19,0,0,4,2,4,1,4,4,10,0,0,1,9,1,0,2,0,0,4,5,1,4,2,1,4,0,0,0,65,317,5,4,2,2,0,حركة النهضة:1  الجبهة الشعبية:1  اتحاد الوطني الحر:1  حركة نداء تونس:1  صوت شعب تونس:1  
