circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد القوى الشبابية,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التآبف الوحدوي الديمقراطي,التحالف الديمقراطي,التكتل ,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,المؤتمر من أجل الجمهورية,تونس المستقبل,تيار المحبة,جبهة 17 ديسمبر للتنمية,حركة الجمهورية,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة وفاء,حزب الاصلاح والتنمية,حزب الخضر,حزب العمل التونسي,حزب الغد,حزب المبادرة ,شباب الوحدة,صوت شعب تونس,حركة نداء تونس,observers
12,4,4,64,1,284,212,400,0,188,188,212,400,0,0,187,10,15,212,0,True,18h30,21h45,1,0,1,1,1,6,0,2,44,0,13,0,1,1,0,1,1,1,2,1,3,38,1,2,1,1,3,0,0,1,60,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس :1  الجبهة الشعبية:1  
12,4,4,63,2,305,207,398,15,176,191,207,398,0,0,197,7,3,207,0,True,18.05,20.39,2,0,16,4,0,2,0,3,3,1,6,1,0,0,0,0,1,0,0,0,0,19,3,2,0,0,0,2,0,0,132,حركة النهضة:1  نداء تونس :1  
12,4,4,63,1,305,250,400,2,148,150,250,400,0,0,218,25,7,250,0,True,18.35,21.30,2,0,7,2,6,0,1,2,5,0,10,4,0,0,2,6,0,0,2,1,0,15,14,3,2,1,4,1,1,0,127,نداء تونس :1  حركة النهضة:1  الحزب الاشتراكي:1  الاتحاد الوطني الحر:1  
12,4,4,62,1,440,296,506,12,198,210,296,506,0,0,264,26,6,296,0,True,1825,2035,1,0,7,3,2,1,3,2,13,0,8,1,0,6,1,24,1,0,0,1,1,57,1,2,1,1,5,3,0,3,116,الاتحاد الوطني الحر:2  الحزب الاشتراكي:1  نداء تونس :1  حركة النهضة:1  
12,4,4,61,1,376,293,500,0,207,207,293,500,0,0,277,12,4,293,0,True,1815,2100,2,1,8,1,0,4,0,2,8,0,1,1,0,2,0,2,0,0,0,0,1,92,5,4,1,0,2,3,2,0,135,الاتحاد الوطني الحر:1  حركة النهضة:1  
12,4,4,60,2,510,362,602,1,239,240,362,602,0,0,353,7,2,362,0,True,1818,2042,4,0,12,2,0,1,2,0,43,2,2,2,1,1,0,3,1,0,0,0,2,72,3,2,0,0,0,4,0,0,194,الاتحاد الوطني الحر:1  حركة النهضة:1  الحزب الاشتراكي:1  نداء تونس :1  
12,4,4,60,1,511,407,556,3,148,151,405,556,0,2,292,112,1,405,0,True,1900,2115,9,1,5,1,3,0,2,0,19,1,8,2,0,2,0,2,1,2,2,0,2,58,7,5,2,0,1,4,0,0,153,الجبهة الشعبية:1  الحزب الاشتراكي:1  حركة النهضة:2  نداء تونس :2  
12,4,4,59,2,433,341,504,5,158,163,341,504,0,0,340,0,1,341,1,True,1830,2041,3,0,14,1,0,2,2,1,38,1,26,2,0,2,1,3,0,0,0,0,0,76,2,0,1,0,1,3,0,0,161,الاتحاد الوطني الحر:1  الجبهة الشعبية:1  نداء تونس :1  حركة النهضة:1  
12,4,4,59,1,433,376,500,16,108,124,376,500,0,0,352,17,7,376,0,True,1840,2048,3,2,6,2,1,3,4,3,23,0,28,3,1,2,1,5,0,0,1,2,2,57,5,3,3,0,2,3,1,0,186,حزب الغد:1  الجبهة الشعبية:1  نداء تونس :1  حركة النهضة:1  
12,4,3,58,3,583,382,700,7,311,318,382,700,0,0,370,9,3,382,0,True,,2045,2,0,33,0,2,3,1,7,43,0,11,1,0,2,1,0,2,0,1,0,0,67,1,1,0,1,1,1,1,0,188,نداء تونس :1  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  آفاق تونس:1  حركة النهضة:1  
12,4,3,58,2,585,482,700,4,214,218,482,700,0,0,464,15,3,482,0,True,1800,2045,4,0,14,1,0,1,0,3,47,1,5,2,0,2,1,4,0,0,1,1,1,106,5,2,0,0,2,1,0,0,260,الاتحاد الوطني الحر:1  التحالف الديمقراطي:1  الجبهة الشعبية:1  نداء تونس :1  حركة النهضة:1  
12,4,3,58,1,585,477,700,49,174,223,477,700,0,0,415,37,25,477,0,True,1830,2058,2,4,14,0,9,5,4,1,16,1,15,1,1,0,2,4,3,0,3,2,1,58,9,7,0,2,7,4,0,1,239,الاتحاد الوطني الحر:1  حركة النهضة:1  آفاق تونس:1  التحالف الديمقراطي:1  نداء تونس :1  
12,4,3,57,4,466,292,600,0,308,308,292,600,0,0,282,6,4,292,0,False,18:12,20:23,6,0,14,5,0,5,0,2,10,0,38,2,1,3,0,0,0,0,0,0,0,49,1,0,0,1,1,1,0,1,142,الاتحاد الوطني الحر:1  نداء تونس :1  حركة النهضة:1  
12,4,3,57,3,469,352,500,0,148,148,352,500,0,0,334,9,9,352,0,False,18.25,21.00,1,0,16,8,0,2,0,1,9,0,56,1,0,6,0,0,0,0,0,1,1,74,2,1,0,0,0,4,0,0,151,الحزب الاشتراكي:1  الاتحاد الوطني الحر:1  التحالف الديمقراطي:1  آفاق تونس:1  حركة النهضة:1  نداء تونس :1  
12,4,3,57,2,469,398,600,3,199,202,398,600,0,0,380,17,1,398,0,True,18.00,21.45,0,0,7,9,0,2,1,3,9,1,64,5,0,4,0,5,0,1,1,0,0,67,5,0,0,0,1,4,0,0,191,الحزب الاشتراكي:1  حركة النهضة:1  نداء تونس :1  الاتحاد الوطني الحر:1  آفاق تونس:1  
12,4,3,57,1,469,395,708,1,312,313,395,708,0,0,333,57,5,395,0,True,18.25,21.00,0,2,4,6,6,0,0,0,9,0,68,0,2,4,0,6,2,1,2,0,0,25,4,1,2,3,3,2,2,2,177,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس :1  الجبهة الشعبية:1  
12,4,3,56,3,521,342,600,9,249,258,342,600,0,0,329,11,2,342,0,True,1815,2045,6,0,20,5,0,9,0,5,13,0,31,2,0,1,1,1,1,0,0,1,1,50,0,0,1,0,0,2,1,0,179,الحزب الاشتراكي:1  آفاق تونس:1  نداء تونس :1  الاتحاد الوطني الحر:1  التحالف الديمقراطي:1  الجبهة الشعبية:1  حركة النهضة:2  
12,4,3,56,2,523,429,600,0,171,171,429,600,0,0,416,5,8,429,0,True,18:20,,7,0,10,3,1,5,1,8,12,0,35,2,1,1,0,3,0,0,0,1,2,74,3,0,1,0,0,0,1,1,244,التحالف الديمقراطي:1  الاتحاد الوطني الحر:1  حركة النهضة:1  الجبهة الشعبية:1  الحزب الاشتراكي:1  نداء تونس :1  آفاق تونس:1  
12,4,3,56,1,523,438,600,6,165,171,438,609,9,0,367,65,6,438,0,True,18:53,22:14,2,2,5,5,6,5,2,2,6,0,31,5,1,2,1,3,4,0,1,0,0,32,3,5,3,1,2,3,4,0,231,حركة النهضة:1  آفاق تونس:2  نداء تونس :2  الحزب الاشتراكي:1  التحالف الديمقراطي:1  
12,4,3,55,3,411,317,502,31,156,185,317,502,0,0,315,2,0,317,0,True,1820,2035,1,0,12,1,0,4,0,6,17,1,144,1,1,4,0,0,1,1,1,0,0,46,0,1,0,0,0,0,1,0,72,التحالف الديمقراطي:1  نداء تونس :1  الحزب الاشتراكي:1  الجبهة الشعبية:1  
12,4,3,55,2,412,326,500,0,174,174,326,500,0,0,316,6,4,326,0,True,18:45,21:15,1,0,11,1,2,1,0,2,13,0,138,2,0,4,0,1,0,0,0,1,2,54,1,2,0,1,0,1,0,0,78,حركة النهضة:1  نداء تونس :1  الاتحاد الوطني الحر:1  الحزب الاشتراكي:1  
12,4,3,55,1,412,352,506,51,103,154,352,506,0,0,296,54,2,352,0,False,8:00,20:50,0,0,6,1,2,2,0,2,4,0,154,2,1,6,1,0,0,0,2,0,0,23,2,2,2,1,3,0,4,0,76,الجبهة الشعبية:1  نداء تونس :1  الحزب الاشتراكي:1  حركة النهضة:1  الاتحاد الوطني الحر:1  
12,4,2,54,2,358,215,400,0,185,185,215,400,0,0,211,3,1,215,0,False,18H34,20H05,1,0,3,0,0,1,0,1,11,0,9,0,0,2,0,2,0,1,0,0,0,75,1,0,0,0,3,0,0,0,101,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس :1  الحزب الاشتراكي:1  
12,4,2,54,1,258,296,404,0,108,108,296,404,0,0,260,32,4,296,0,False,1805,,0,1,2,1,3,0,0,0,16,1,6,1,0,3,0,4,0,1,1,5,2,52,7,5,1,1,3,3,0,0,141,الحزب الاشتراكي:1  نداء تونس :1  الاتحاد الوطني الحر:1  حركة النهضة:1  
12,4,1,53,1,189,131,291,0,160,160,131,291,0,0,117,10,4,131,0,True,18:40,19:50,0,0,5,2,0,1,1,0,4,0,6,3,0,0,0,1,1,0,1,1,0,19,3,0,2,0,1,1,0,0,65,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس :1  الجبهة الشعبية:1  
12,5,5,77,8,557,415,600,0,185,185,415,600,0,0,407,5,3,415,0,False,19:00,22:30,11,0,37,3,0,9,0,31,36,0,11,4,1,3,1,1,1,1,0,0,0,82,1,1,0,0,0,2,1,1,169,التحالف الديمقراطي:1  حركة النهضة:1  الحزب الاشتراكي:1  نداء تونس :1  
12,5,5,77,7,561,372,605,3,230,233,372,605,0,0,364,5,3,372,0,True,190,2103,14,0,27,7,0,5,1,19,29,0,19,4,0,4,0,3,1,0,0,1,0,87,3,0,0,0,0,1,0,2,137,آفاق تونس:1  حركة النهضة:1  الحزب الاشتراكي:1  
12,5,5,77,6,561,406,600,0,194,194,406,600,0,0,381,21,4,406,0,True,1800,2235,11,0,28,3,0,11,2,21,19,0,6,7,0,5,0,0,1,0,0,0,0,111,3,0,2,0,0,0,0,0,151,نداء تونس :1  حركة النهضة:1  التحالف الديمقراطي:1  الحزب الاشتراكي:1  
12,5,5,77,5,561,458,600,1,141,142,458,600,0,0,441,13,4,458,0,True,1840,2215,5,0,37,5,1,7,0,11,28,2,7,6,0,2,0,0,2,0,0,0,3,160,2,0,1,0,1,1,0,0,160,حركة النهضة:1  نداء تونس :1  الجبهة الشعبية:1  آفاق تونس:1  التحالف الديمقراطي:1  
12,5,5,77,4,561,456,600,1,143,144,456,600,0,0,449,4,3,456,0,True,19h,22h,3,0,34,4,1,8,3,16,32,0,7,8,2,6,0,5,0,2,0,0,2,128,2,2,0,0,1,0,1,1,181,الاتحاد الوطني الحر:1  التحالف الديمقراطي:1  حركة النهضة:1  نداء تونس :1  الحزب الاشتراكي:1  الحزب الجمهوري:1  الجبهة الشعبية:1  
12,5,5,77,3,561,480,606,18,109,127,479,606,0,1,457,11,11,479,0,True,1907,2200,8,0,20,3,3,9,1,8,28,2,21,4,0,4,0,5,0,2,2,2,2,124,6,1,1,4,3,3,1,0,190,:  
12,5,5,77,2,561,447,600,6,148,154,446,600,0,1,386,55,5,446,0,True,19.10,22.10,5,1,26,3,2,3,0,7,11,1,20,3,3,2,3,7,1,2,0,2,7,79,4,2,3,1,2,1,0,1,184,الحزب الاشتراكي:1  الاتحاد الوطني الحر:1  نداء تونس :1  حركة النهضة:1  
12,5,5,77,1,561,472,600,1,127,128,472,600,0,0,438,18,16,472,0,True,,,10,0,19,4,2,7,1,9,15,0,8,8,2,2,0,5,0,0,0,0,0,97,4,5,1,0,0,0,0,0,239,الاتحاد الوطني الحر:1  نداء تونس :1  الجبهة الشعبية:1  الاتحاد الوطني الحر:1  
12,5,5,76,2,508,266,600,3,331,334,266,600,0,0,262,2,2,266,0,True,18.21,21.10,5,0,20,1,0,12,0,3,13,0,0,0,0,2,0,3,0,1,0,0,1,51,2,0,0,2,1,2,0,1,142,الجبهة الشعبية:1  نداء تونس :1  حركة النهضة:1  
12,5,5,76,1,508,358,600,0,242,242,358,600,0,0,314,14,30,358,0,True,18.00,20.52,2,0,22,6,4,6,1,4,5,0,5,2,2,2,0,11,0,4,1,2,2,43,7,3,0,1,3,2,1,2,171,التحالف الديمقراطي:1  نداء تونس :1  حركة النهضة:1  
12,5,5,75,2,385,255,500,1,244,245,255,500,0,0,252,3,0,255,0,True,18.24,19.51,3,0,13,1,0,7,1,2,26,5,0,1,0,1,0,1,0,0,0,1,0,72,0,0,1,1,0,2,0,0,114,الجبهة الشعبية:1  الاتحاد الوطني الحر:1  نداء تونس :1  حركة النهضة:1  
