circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أولاد الشعب,أولاد زغوان,اتحاد الشباب الديمقراطي التونسي,اتحاد القوى الشبابية,الأمان بزغوان,الاتحاد الوطني الحر,البناء الوطني,التحالف الحر,التحالف الديمقراطي,التحدي لمستقبل أفضل,التكتل من أجل العمل والحريات,التيار الديمقراطي,الثقافة والتنوع,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,الصفاء,العدل أساس الملك,العلم نور,القائمة المستقلة لولاية زغوان ,المؤتمر من أجل الجمهورية,المبادرة,النسري,النسور ,النصر,تحيا تونس,تونسنا,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة النهضة,حركة وفاء,حزب تونس للجميع,حزب صوت الفلاحين,شباب تونس,شباب زغوان لحزب المستقبل,صوت شعب تونس,قائمة الأمل,حركة نداء تونس,نداء قرطاج,observers
13,1,7,12,1,580,433,700,6,261,267,433,700,0,0,382,38,13,433,0,False,18.30,21.45,1,1,2,3,3,1,13,2,1,6,1,3,1,0,52,0,2,2,2,3,1,0,0,3,2,5,2,3,1,1,2,10,33,1,60,6,1,6,0,13,1,0,131,1,التحالف الديمقراطي:1  الحركة الدستورية:1  نداء تونس:1  تيار المحبة:1  حركة النهضة:1  الجبهة الشعبية:1  تونسنا:1  التحالف الحر:1  
13,1,7,11,1,532,346,600,4,252,256,344,600,0,2,315,25,4,344,0,False,1855,2211,0,0,0,1,0,0,42,8,0,5,2,0,0,1,25,1,3,2,1,0,1,0,0,1,1,0,8,0,1,0,3,5,9,1,63,4,5,1,5,0,6,0,108,1,الجبهة الشعبية:1  التحالف الديمقراطي:1  حركة النهضة:1  الاتحاد الوطني الحر:1  تيار المحبة:1  نداء تونس:1  شباب زغوان لحزب المستقبل:1  :  
13,1,6,10,2,388,291,500,0,209,209,291,500,0,0,283,2,6,291,0,False,19.15,20.30,1,0,0,0,0,0,10,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,127,0,2,0,1,0,1,1,127,0,حركة النهضة:2  نداء تونس:2  تونسنا:1  تيار المحبة:1  
13,1,6,10,1,389,311,500,1,188,189,311,500,0,0,284,25,2,311,27,False,19.06,21.44,0,1,0,6,0,0,1,1,0,0,0,1,1,0,1,1,2,4,0,0,0,2,0,1,0,3,2,0,2,0,2,5,3,1,109,2,3,5,1,2,0,0,121,1,حركة النهضة:2  نداء تونس:3  
13,1,5,9,2,343,236,400,1,163,164,236,400,0,0,224,6,6,236,0,False,18.30,20.00,0,1,0,0,0,0,34,0,1,17,0,0,3,1,12,0,1,0,2,0,0,4,0,3,2,1,2,0,0,1,0,0,0,1,39,3,1,0,1,1,1,0,91,1,حركة النهضة:2  نداء تونس:2  الاتحاد الوطني الحر:3  صوت شعب تونس:1  
13,1,5,9,1,344,270,400,1,129,130,270,400,0,0,236,14,20,270,0,False,18.15,20.00,1,1,3,2,0,0,24,1,1,8,0,2,4,1,7,0,1,5,1,0,1,1,1,4,0,1,0,0,2,2,1,3,1,0,39,3,6,3,2,0,2,2,98,2,التحالف الحر:1  حركة النهضة:1  الحركة الدستورية:1  نداء تونس:1  الاتحاد الوطني الحر:1  
13,1,4,8,3,433,311,500,1,189,190,310,500,0,1,298,11,1,310,0,False,19.09,21.24,1,0,1,0,1,0,30,2,2,14,0,0,0,0,6,0,3,4,1,0,0,0,0,1,0,5,8,0,1,0,1,1,2,1,49,2,0,0,1,2,25,1,132,1,صوت شعب تونس:2  الحزب الاشتراكي:1  حركة النهضة:2  نداء تونس:2  الاتحاد الوطني الحر:1  
13,1,4,8,2,435,336,500,0,164,164,336,500,0,0,314,10,12,336,0,True,18.40,21.22,0,0,0,0,0,0,18,3,3,13,0,0,0,1,2,0,1,6,3,0,0,0,1,1,1,3,6,1,0,1,0,1,6,0,57,1,2,0,0,3,24,1,155,0,صوت شعب تونس:1  الحزب الاشتراكي:1  التحالف الديمقراطي:1  حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  تيار المحبة:1  
13,1,4,8,1,435,352,500,4,144,148,352,500,0,0,321,9,22,352,0,True,18.30,21.50,1,0,3,0,0,0,29,1,0,8,1,0,0,0,1,0,2,4,1,0,1,1,1,2,0,1,4,0,3,1,1,1,5,2,43,6,4,3,4,0,19,0,167,1,تونسنا:1  التحالف الحر:1  صوت شعب تونس:1  التحالف الديمقراطي:1  تيار المحبة:1  الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  
13,1,3,7,4,544,403,700,1,296,297,403,700,0,0,388,4,11,403,0,False,18.30,21.55,5,0,0,0,0,1,37,0,2,3,0,0,10,0,12,1,0,0,2,0,0,6,1,7,1,9,3,0,0,0,1,2,16,0,109,5,0,0,1,7,3,0,143,1,العلم نور:1  تونسنا:1  شباب زغوان لحزب المستقبل:1  حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
13,1,3,7,3,546,375,599,1,223,224,375,599,0,0,358,10,7,375,0,False,"18,30","21,45",5,0,0,1,0,0,40,4,5,3,3,0,6,0,5,0,0,2,5,0,0,5,0,2,1,7,1,0,1,0,1,3,17,0,75,1,2,0,1,8,1,1,150,2,الاتحاد الوطني الحر:  شباب زغوان لحزب المستقبل:  نداء تونس:  حركة النهضة:  
