circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,حركة نداء تونس,آفاق تونس,أمانة وفاء,إرادة,إن شاء الله خير,االجبهة الوطنية التونسية,اتحاد الشباب الديمقراطي التونسي,الأمانة,الأمل,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الانجاز والمقاومة ,الانفتاح والوفاء,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحركة الديمقراطية الاشتراكية,الحزب الجمهوري,الحزب الجمهوري المغاربي,الحقيقة,الخضر,الخضراء,الربيع العربي لتحقيق السيادة الاقتصادية ,الشباب المستقل,الشروق,الشعب يريد,الصوت الحر,العدالة الجمهورية,العريضة الشعبية,العقد الثوري,القائمة المستقلة أبناء الشعب,القائمة المستقلة العدالة,القائمة المستقلة النخلة,القائمة المستقلة للامركزية والتنمية,اللقاء الدستوري,المبادرة,المستقلة الاقلاع,المنارة,الوئام,الوفاء بالعهد,الياسمين,تونس الخضراء تنمية مستدامة,تيار المحبة,جركة الديمقراطيين الاجتماعيين,حركة الشعب,حركة النهضة,حركة وفاء,حزب الأمان,حزب الانتماء الديمقراطي,حزب البناء الوطني,حزب التكتل ,حزب التكتل الشعبي من أجل تونس,حزب الغد,حزب المؤتمر من أجل الجمهورية,حزب صوت شعب تونس,رد الاعتبار,شباب قفصة,صوت الحق,قائمة الأمل,قفصة دارنا الكل,قفصة عراقة وتجديد,observers
17,9,5,142,1,175,96,200,0,104,104,96,200,0,0,88,7,1,96,0,False,18,"19,13",22,0,0,0,0,0,7,2,1,2,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,6,0,0,0,0,7,2,1,1,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,حزب الغد:  حركة النهضة:   نداء تونس:  
17,9,5,141,1,252,167,300,1,132,133,167,300,0,0,158,6,3,167,0,False,18:20,19:00,21,2,0,1,0,0,3,1,0,9,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,5,0,1,0,0,1,0,5,1,2,85,0,3,0,0,0,0,0,1,0,1,0,1,2,1,0, نداء تونس:3  حركة الشعب:  حركة النهضة:  المبادرة:  الجبهة الشعبية:  :  
17,9,5,140,1,377,211,400,2,189,191,209,400,0,2,190,11,8,209,0,False,18:00,19:30,69,1,0,0,1,0,3,1,0,5,2,0,2,0,1,9,5,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,3,1,0,9,0,1,0,3,0,0,4,0,2,48,0,0,2,0,6,1,0,1,0,2,0,1,0,1,1, نداء تونس:2  حزب التكتل :  المبادرة:  القائمة المستقلة النخلة:  :  :  
17,9,4,139,1,211,157,300,0,143,143,157,300,0,0,150,3,4,157,0,True,18:20,20:00,26,0,0,0,0,0,80,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11,1,0,0,0,1,6,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0, نداء تونس:3  حركة النهضة:  اتحاد الشباب الديمقراطي التونسي:  المبادرة:  :  
17,9,4,138,1,197,158,300,0,142,142,158,300,0,0,150,7,1,158,0,True,1807,2025,18,1,0,0,0,0,16,0,0,4,2,0,1,2,1,11,2,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,1,73,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,حركة النهضة:1   نداء تونس:1  المبادرة:1  الجبهة الشعبية:1  اتحاد الشباب الديمقراطي التونسي:1  حزب التكتل :1  
17,9,3,137,1,266,204,300,0,96,96,204,300,0,0,183,16,5,204,0,True,1825,1936,72,1,0,1,2,1,1,2,2,2,0,0,1,0,0,0,8,0,1,0,0,0,0,0,2,0,0,1,0,2,1,1,5,0,0,0,41,0,0,1,6,1,0,1,0,1,22,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,حركة النهضة:1   نداء تونس:1  المبادرة:1  القائمة المستقلة النخلة:1  حزب التكتل :1  
17,9,2,136,2,383,257,500,1,242,243,257,500,0,0,246,7,4,257,0,False,18:30,20:15,3,0,0,0,0,0,124,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,1,3,0,1,0,0,15,0,2,0,0,76,0,3,0,0,0,0,0,1,5,0,0,0,1,0,0, نداء تونس:  حركة النهضة:  اتحاد الشباب الديمقراطي التونسي:  
17,9,2,136,1,384,288,500,6,207,213,287,500,0,1,242,32,13,287,0,False,18:40,,10,1,0,1,1,0,85,0,5,1,1,0,1,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,4,0,1,0,1,1,0,0,1,14,8,5,1,1,79,0,1,1,1,1,1,1,2,1,1,0,0,0,0,0, نداء تونس:1  حركة النهضة:1  اتحاد الشباب الديمقراطي التونسي:1  
17,9,1,135,1,109,92,200,1,107,108,92,200,0,0,89,3,0,92,0,False,"18,15",19,10,0,0,0,0,1,5,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,25,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,حركة النهضة:   نداء تونس:  
17,9,1,134,1,235,163,300,0,137,137,163,300,0,0,155,7,1,163,0,True,18,"19,20",34,0,0,0,0,0,12,1,1,7,0,0,1,0,0,0,2,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,10,2,0,0,15,0,0,1,0,1,0,3,0,1,39,0,0,2,2,0,0,1,0,8,0,0,3,1,0,0,الحركة الديمقراطية الاشتراكية:2  حركة النهضة:  التيار الديمقراطي:  المبادرة:  الجبهة الشعبية:  
