circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, إتحاد الشباب الديمقراطي التونسي,آفاق تونس,إتحاد القوى الوطنية,إرادة الشعب,الأديب للتنمية والعدالة,الأمان,الائتلاف المستقل لحركة نور تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الرافدة,الشعب يريد,الصباح الجديد لتونس,العريضة الشعبية,القائمة البورقيبية,المؤتمر من أجل الجمهورية,المبادرة,باب الأمل,تحيا تونس,تيار المحبة,جوهرة,حركالتونسي,حركة الاقلاع إلى المستقبل,حركة الديمقراطيين الاشتراكيين ,حركة الربيع العربي,حركة الشعب,حركة النهضة,حزب التكتل,حزب التكتل الشعبي من أجل تونس,حزب العدل والتنمية ,حزب العمل التونسي,حزب القيم الوطنية,حزب المستقبل,حضر موت,سيادة الشعب,صوت شعب تونس,حركة نداء تونس,observers
20,2,3,16,3,405,312,500,2,186,188,312,500,0,0,308,3,1,312,0,True,1800,2010,1,10,0,1,0,0,0,1,1,2,2,5,1,1,0,1,2,0,0,2,0,0,0,7,6,1,0,7,0,1,1,2,0,1,100,1,0,0,0,0,0,0,0,0,151,حركة النهضة:2  نداء تونس:2  
20,2,3,16,2,407,340,500,1,159,160,340,500,0,0,335,4,1,340,0,True,1840,2120,0,5,0,1,0,0,1,2,1,0,0,3,1,1,0,1,2,0,0,0,0,1,0,4,4,0,1,14,0,0,2,0,0,0,117,2,0,1,0,0,0,0,0,2,169,حركة النهضة:2  نداء تونس:2  آفاق تونس:1  المؤتمر من أجل الجمهورية:1  
20,2,3,16,1,407,351,500,0,150,150,351,501,1,1,327,20,4,351,0,True,1800,2134,1,5,0,1,0,0,0,4,0,0,1,2,3,1,3,2,2,1,0,0,1,1,0,6,4,0,1,6,0,1,3,3,2,3,110,3,0,0,2,0,0,0,2,0,153,حركة النهضة:1  آفاق تونس:1  نداء تونس:1  المؤتمر من أجل الجمهورية:1  
20,2,2,15,1,515,385,600,1,214,215,385,600,0,0,373,9,3,385,0,True,1900,2140,0,11,0,0,0,1,0,6,1,1,10,5,0,0,1,0,2,2,1,0,1,1,2,3,7,1,0,3,0,1,1,2,0,1,65,1,1,1,0,0,3,0,0,0,238,حركة النهضة:1  نداء تونس:2  
20,2,2,14,3,401,268,500,0,232,232,268,500,0,0,265,0,3,268,0,True,1815,2001,0,7,0,1,0,0,0,3,1,0,7,3,0,1,0,0,5,0,0,1,0,2,1,1,6,1,1,1,0,0,0,1,0,0,39,2,0,0,0,0,0,0,0,2,179,آفاق تونس:1  نداء تونس:1  حركة النهضة:2  
20,2,2,14,2,403,311,500,1,188,189,311,500,0,0,303,2,6,311,0,True,1800,2040,0,8,0,0,0,1,0,5,0,2,1,5,2,1,0,0,8,0,0,0,3,1,1,2,7,0,1,3,0,1,0,2,0,0,70,0,0,0,0,0,0,0,0,0,179,حركة النهضة:2  نداء تونس:1  الجبهة الشعبية:1  آفاق تونس:1  
20,2,2,14,1,403,326,500,3,177,180,324,504,4,2,293,13,18,324,0,True,1838,2200,1,4,1,0,0,1,0,3,0,1,1,6,3,2,2,0,3,0,0,0,0,0,2,0,6,0,0,4,0,0,0,3,0,0,42,6,0,0,1,0,2,0,3,0,196,حركة النهضة:2  آفاق تونس:1  نداء تونس:1  الجبهة الشعبية:1  
20,2,2,13,5,587,368,600,1,231,232,368,600,0,0,361,5,2,368,0,True,1833,2145,0,11,0,1,0,0,0,11,5,2,1,8,1,1,1,0,5,0,0,1,0,2,0,7,16,0,1,3,0,0,0,0,0,0,56,0,0,1,0,0,0,0,0,0,227,نداء تونس:2  حركة النهضة:1  
20,2,2,13,4,586,359,700,0,341,341,359,700,0,0,349,9,1,359,0,True,1800,2110,1,13,0,0,0,0,0,3,3,0,3,7,0,0,0,3,5,0,0,0,1,1,2,3,14,0,1,7,0,1,0,0,0,4,90,2,2,0,1,0,1,1,1,0,179,حركة النهضة:1  نداء تونس:1  
20,2,2,13,3,586,455,600,2,143,145,455,600,0,0,446,4,5,455,0,True,1820,21000,0,14,0,0,0,0,0,2,2,0,7,10,0,1,0,0,15,0,1,2,0,0,0,10,12,0,0,6,0,0,1,3,0,1,81,6,1,0,1,1,0,0,1,0,262,حركة النهضة:1  نداء تونس:1  آفاق تونس:1  
20,2,2,13,2,586,483,700,5,213,218,482,700,0,1,465,12,5,482,0,True,1840,2000,0,10,0,2,0,0,0,6,5,2,1,4,2,1,2,2,1,1,0,0,1,1,2,3,15,0,0,3,1,0,0,2,0,2,87,4,2,1,1,1,4,0,0,0,296,نداء تونس:2  حركة النهضة:1  آفاق تونس:1  
20,2,2,13,1,586,457,700,2,243,245,455,700,0,2,427,23,5,455,0,True,18,"21,30",2,5,1,2,2,1,0,3,3,0,6,10,3,1,0,3,2,0,1,0,0,3,1,2,10,1,3,7,1,0,1,3,0,1,67,8,1,3,0,0,1,2,2,1,264,حركة النهضة:  نداء تونس:  تيار المحبة:  آفاق تونس:  
20,2,1,12,3,440,298,500,0,202,202,298,500,0,0,290,1,7,298,0,True,"18,30","20,15",0,6,0,0,0,0,1,4,0,1,5,7,2,5,0,0,1,0,1,0,4,1,1,1,5,0,0,1,0,0,1,1,0,1,67,1,0,0,1,0,0,0,0,0,172,حركة النهضة:  آفاق تونس:  نداء تونس:  
