circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد الشباب الديمقراطي التونسي,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البناء الوطني,التآلف الوطني,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحزب الجمهوري,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,المؤتمر من أجل الجمهورية,المبادرة,الوحدة الوطنية المستقلة,تونس اقوى,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الاصالة,حزب الانفتاح والوفاء,حزب العدالة والتنمية,حزب الغد,حزب المجد,حزب حركة الدستوريين الاحرار,حماة الوطن,شباب مدنين,صوت شعب تونس,من أجل تحقيق سلطة الشعب,observers
26,6,16,163,1,551,348,600,3,249,252,348,600,0,0,338,6,4,348,0,False,2000,2115,21,0,15,18,1,0,4,4,3,7,2,0,0,15,3,0,1,3,2,56,116,56,1,0,0,0,0,0,2,0,5,1,0,2,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة الشعب:1  آفاق تونس:1  حركة نداء تونس:1  
26,6,16,162,2,402,245,492,0,247,247,245,492,0,0,243,1,1,245,0,False,1800,1945,14,0,11,25,0,1,4,0,3,17,1,0,1,0,0,0,1,5,0,36,92,32,0,0,0,0,0,0,0,0,0,0,0,0,حركة النهضة:2  حركة النهضة:1  التحالف الديمقراطي:1  المؤتمر من أجل الجمهورية:1  تيار المحبة:1  الاتحاد الوطني الحر:1  حركة النهضة:1  آفاق تونس:1  الجبهة الشعبية:1  
26,6,16,162,1,402,290,500,0,210,210,290,500,0,0,267,18,5,290,0,False,1800,20005,12,0,3,24,2,0,1,3,1,12,2,0,0,8,1,2,1,5,3,49,94,35,0,0,1,0,1,1,0,0,1,3,1,1,حركة الشعب:1  حركة النهضة:1  التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  آفاق تونس:1  
26,6,15,161,3,444,238,500,4,258,262,238,500,0,0,237,0,1,238,0,False,18:39,20:00,12,0,9,21,0,0,5,3,1,13,1,0,0,8,1,0,0,1,0,35,61,65,1,0,0,0,0,0,0,0,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  الاتحاد من أجل تونس :1  آفاق تونس:1  
26,6,15,161,2,446,337,500,1,162,163,337,500,0,0,326,7,4,337,0,False,18:30,20:10,29,0,5,60,0,0,10,3,3,17,2,0,0,10,2,0,0,2,0,44,85,51,0,0,0,0,1,0,0,0,0,1,0,1,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  آفاق تونس:1  تيار المحبة:1  حركة الشعب:1  الجبهة الشعبية:1  
26,6,15,161,1,446,333,500,10,157,167,333,500,0,0,309,18,6,333,0,True,1820,2030,24,1,6,62,0,1,11,5,2,15,1,0,0,5,3,1,0,2,0,28,64,66,0,1,1,3,3,0,0,1,0,1,0,2,حركة النهضة:2  آفاق تونس:2  التحالف الديمقراطي:1  الاتحاد من أجل تونس :1  التكتل من أجل العمل والحريات:1  :  
26,6,14,160,3,415,237,500,7,256,263,237,500,0,0,232,4,1,237,0,False,1907,2125,11,0,8,8,0,0,1,0,1,9,2,0,0,8,0,1,0,1,0,20,145,15,0,0,0,0,0,0,1,0,0,1,0,0,حركة النهضة:1  آفاق تونس:1  الحزب الجمهوري:1  
26,6,14,160,2,417,306,501,18,177,195,306,501,0,0,295,10,1,306,0,False,18:44,21:25,23,1,9,11,0,0,1,1,0,17,2,1,0,5,3,0,0,1,0,26,159,27,1,1,0,0,0,1,1,0,1,1,1,1,حركة النهضة:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  الاتحاد من أجل تونس :1  المؤتمر من أجل الجمهورية:1  
26,6,14,160,1,417,305,500,10,181,191,309,500,0,4,274,34,1,309,0,False,1801,2120,17,2,8,8,1,0,1,3,2,8,2,0,1,5,5,1,1,5,0,22,108,47,1,0,2,1,3,3,3,0,5,3,2,4,حركة الشعب:1  حركة نداء تونس:1  الجبهة الشعبية:1  آفاق تونس:1  الاتحاد من أجل تونس :1  حركة النهضة:1  
26,6,14,159,3,535,274,600,0,326,326,274,600,0,0,268,2,4,274,0,True,18:30,20:30,12,0,9,13,0,0,1,3,0,12,1,0,0,4,2,1,0,3,1,34,139,27,1,1,0,0,1,1,0,0,1,1,0,0,الحزب الجمهوري:1  حركة نداء تونس:1  تيار المحبة:1  آفاق تونس:1  حركة النهضة:1  الجبهة الشعبية:1  الاتحاد الوطني الحر:1  
