circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أمان,اتحاد القوى الشابية,الأغلبية الصامتة,الأمة,الائتلاف الديمقراطي,الاتحاد الوطني الحر,الاتحاد من أجل تونس,البيئة تجمعنا,التحالف الديمقراطي ,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسي,الحداثة والأصالة,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الخضر,الربيع العربي لتحقيق السيادة الاقتصادية,السيادة,الشباب الموحد لغد أفضل,الصمود,القوى المستقلة ببن عروس,الكرامة والمساواة,المؤتمر من أجل الجمهورية,المبادرة,الوعد الصادق,الوفاء لمشروع الشهيد,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب البناء الوطني,حزب الديمقراطيين الاشتراكيين,حزب العدالة والتنمية,حزب العمل التونسي,حزب المؤتمر الشعبي,حزب المجد,صوت شعب تونس,فجر البناء,قائمة أمل تونس,قائمة المهنيين ,نداء قرطاج,نور المستقبل,observers
3,9,8,96,3,470,332,500,0,168,168,332,500,0,0,328,3,1,332,0,True,1900,2115,0,17,1,0,0,0,0,24,1,0,1,1,10,22,2,0,0,0,10,0,0,0,0,0,6,0,6,1,0,0,0,1,0,1,0,98,119,1,0,0,1,0,1,0,2,0,1,1,0,0,0,حركة النهضة:1  حركة نداء تونس:2  الجبهة الشعبية:1  :  
3,9,8,96,2,471,353,600,0,247,247,353,600,0,0,339,9,5,353,0,False,1830,,1,8,0,0,0,2,3,28,1,1,0,3,8,11,0,1,1,1,6,1,0,1,0,1,1,0,7,2,0,0,2,1,0,0,0,134,94,3,0,1,1,1,1,1,2,1,2,2,1,4,0,حركة النهضة:2  الجبهة الشعبية:1  حركة نداء تونس:1  
3,9,8,96,1,471,378,600,0,222,222,378,600,0,0,335,16,27,378,0,True,1830,2050,1,4,0,0,0,0,3,22,4,0,1,1,6,11,1,0,3,2,9,0,0,0,2,1,1,0,3,5,0,2,1,2,1,1,0,112,114,2,0,2,1,1,1,1,1,1,4,1,2,3,2,حركة النهضة:1  الجبهة الشعبية:1  الاتحاد الوطني الحر:1  حركة نداء تونس:2  الحزب الاشتراكي:1  
3,9,7,95,6,579,464,700,0,236,236,464,700,0,0,455,4,5,464,0,False,1907,2330,0,32,0,0,0,0,0,22,9,0,2,3,28,33,1,0,0,0,11,0,1,0,0,0,2,0,8,3,0,0,1,1,0,1,2,92,198,4,0,0,0,0,0,0,1,0,0,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
3,9,7,95,5,581,460,701,0,241,241,460,701,0,0,456,2,2,460,0,True,1800,2115,1,23,0,0,0,0,0,16,6,0,9,1,23,16,0,0,1,0,18,1,0,0,0,0,3,0,14,4,0,0,2,0,0,0,3,121,186,4,0,0,0,0,0,0,2,0,0,0,1,1,0,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
3,9,7,95,4,581,473,700,2,225,227,473,700,0,0,466,4,3,473,0,False,19h05,22h21,0,28,0,0,0,0,0,22,9,0,2,1,33,20,1,0,2,0,26,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,0,94,215,3,0,0,1,0,0,0,0,0,0,0,0,0,0,الحركة الدستورية:1  حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
3,9,7,95,3,581,497,729,1,232,233,496,729,0,1,491,1,4,496,0,False,1820,2110,0,24,0,1,0,0,0,10,3,0,1,4,25,29,1,0,1,0,20,0,0,0,0,1,2,0,11,2,0,0,1,1,0,0,0,146,197,2,1,0,1,0,0,0,1,0,0,0,3,2,1,حركة النهضة:1  حركة نداء تونس:1  الحزب الجمهوري:1  الجبهة الشعبية:1  
3,9,7,95,2,581,516,689,1,172,173,516,689,0,0,510,3,3,516,0,False,1837,2223,5,21,1,0,0,0,3,14,6,1,1,4,11,30,1,0,0,1,24,0,0,0,0,1,2,0,7,4,0,0,2,0,1,1,1,130,226,2,0,0,0,2,0,0,0,0,2,1,2,2,1,الجبهة الشعبية:1  الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
3,9,7,95,1,581,519,706,4,183,187,519,706,0,0,504,12,3,519,1,False,1930,2315,2,11,0,0,0,0,4,13,5,1,3,2,11,16,2,0,0,3,8,0,1,2,1,3,4,1,4,3,0,2,3,0,1,1,2,115,262,1,4,1,0,0,0,0,0,0,3,2,2,5,0,حركة النهضة:1  الجبهة الشعبية:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
3,9,6,94,3,540,428,600,2,170,172,428,600,0,0,426,0,2,428,0,False,1835,2022,1,28,0,0,0,0,1,22,6,0,6,4,22,27,0,0,2,0,12,1,1,1,0,0,1,0,11,9,0,1,0,0,2,0,2,88,169,2,0,0,0,0,1,1,1,0,2,0,0,2,0,حركة النهضة:1  حركة نداء تونس:2  
