circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,tampon,AfekTounes,UPL,PopularFront,Ennahdha,NidaTounes,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
13,1,1,1,1,426,272,500,1,227,228,272,500,0,0,248,9,15,272,0,False,2,39,8,37,88,13,Zaghouan,1,Zriba,1,1,E.P.AIN MEZIGH JOUF EST,1,36.376851,10.181595
13,1,1,2,2,498,287,600,0,313,313,287,600,0,0,280,4,3,287,0,True,2,26,5,17,122,13,Zaghouan,1,Zriba,1,2,E.P.AIN LANSARINE -JOUF EST,2,36.336156,10.151567
13,1,1,3,1,505,329,600,0,271,271,329,600,0,0,276,39,14,329,0,False,51,9,1,12,103,13,Zaghouan,1,Zriba,1,3,E.P.BENI MAR - EL JOUF EST,1,36.314418,10.165912
13,1,2,4,1,248,158,300,1,142,143,157,300,0,1,140,17,0,157,0,True,0,5,0,35,44,13,Zaghouan,1,Zriba,2,4,E.P.CHARCHARA JOUF OUEST,1,36.288126,10.090759
13,1,2,5,1,320,243,400,0,157,157,243,400,0,0,219,13,11,243,0,True,2,7,0,22,82,13,Zaghouan,1,Zriba,2,5,E.P.BOUCHAOUATA -JOUF OUEST,1,36.305349,10.121708
13,1,2,5,2,319,194,400,0,206,206,194,400,0,0,189,4,1,194,0,False,3,13,1,35,73,13,Zaghouan,1,Zriba,2,5,E.P.BOUCHAOUATA -JOUF OUEST,2,36.305349,10.121708
13,1,3,7,1,546,437,600,0,163,163,437,600,0,0,368,15,54,437,0,False,0,19,2,77,151,13,Zaghouan,1,Zriba,3,7,E.P.EL HOUDA ZRIBA SUD ZRIBA,1,36.351998,10.21259
13,1,3,7,2,546,427,600,2,171,173,427,600,0,0,405,11,11,427,0,False,4,21,1,88,189,13,Zaghouan,1,Zriba,3,7,E.P.EL HOUDA ZRIBA SUD ZRIBA,2,36.351998,10.21259
13,1,3,7,3,546,375,599,1,223,224,375,599,0,0,358,10,7,375,0,False,5,40,5,75,150,13,Zaghouan,1,Zriba,3,7,E.P.EL HOUDA ZRIBA SUD ZRIBA,3,36.351998,10.21259
13,1,3,7,4,544,403,700,1,296,297,403,700,0,0,388,4,11,403,0,False,5,37,12,109,143,13,Zaghouan,1,Zriba,3,7,E.P.EL HOUDA ZRIBA SUD ZRIBA,4,36.351998,10.21259
13,1,4,8,1,435,352,500,4,144,148,352,500,0,0,321,9,22,352,0,True,1,29,1,43,167,13,Zaghouan,1,Zriba,4,8,E.P.ZRIBA VILLAGE,1,36.339833,10.250318
13,1,4,8,2,435,336,500,0,164,164,336,500,0,0,314,10,12,336,0,True,0,18,2,57,155,13,Zaghouan,1,Zriba,4,8,E.P.ZRIBA VILLAGE,2,36.339833,10.250318
13,1,4,8,3,433,311,500,1,189,190,310,500,0,1,298,11,1,310,0,False,1,30,6,49,132,13,Zaghouan,1,Zriba,4,8,E.P.ZRIBA VILLAGE,3,36.339833,10.250318
13,1,6,10,1,389,311,500,1,188,189,311,500,0,0,284,25,2,311,27,False,0,1,1,109,121,13,Zaghouan,1,Zriba,6,10,E.P.JRADOU,1,36.276176,10.32371
13,1,6,10,2,388,291,500,0,209,209,291,500,0,0,283,2,6,291,0,False,1,10,0,127,127,13,Zaghouan,1,Zriba,6,10,E.P.JRADOU,2,36.276176,10.32371
13,1,7,11,1,532,346,600,4,252,256,344,600,0,2,315,25,4,344,0,False,0,42,25,63,108,13,Zaghouan,1,Zriba,7,11,E.P.AIN BATRIA,1,36.269364,10.253142
13,1,7,12,1,580,433,700,6,261,267,433,700,0,0,382,38,13,433,0,False,1,13,52,60,131,13,Zaghouan,1,Zriba,7,12,E.P.OUED EL KENZ BATRIA,1,36.300415,10.268702
13,2,1,13,1,540,415,600,3,183,186,415,601,1,0,371,33,11,415,0,False,2,15,4,89,146,13,Zaghouan,2,El Fahs,1,13,E.P.BOUCHOUCHA PONT FAHS -BANLIEU FAHS,1,36.374563,9.903661
13,2,1,13,2,540,373,600,1,227,228,372,600,0,1,360,6,6,372,0,True,3,21,13,96,141,13,Zaghouan,2,El Fahs,1,13,E.P.BOUCHOUCHA PONT FAHS -BANLIEU FAHS,2,36.374563,9.903661
13,2,1,13,3,540,310,600,1,289,290,310,600,0,0,306,3,1,310,0,True,9,23,9,54,141,13,Zaghouan,2,El Fahs,1,13,E.P.BOUCHOUCHA PONT FAHS -BANLIEU FAHS,3,36.374563,9.903661
13,2,1,14,1,535,419,600,0,181,181,419,600,0,0,364,30,25,419,0,False,3,9,4,61,162,13,Zaghouan,2,El Fahs,1,14,E.P.2 MARS EL FAHS - BANLIEU FAHS,1,36.364095,9.904354
13,2,1,14,2,535,440,600,1,159,160,440,600,0,0,427,10,3,440,0,False,2,23,11,138,149,13,Zaghouan,2,El Fahs,1,14,E.P.2 MARS EL FAHS - BANLIEU FAHS,2,36.364095,9.904354
