circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers
27,3,15,42,1,132,88,200,0,112,88,200,0,0,85,1,2,88,0,1815,1850,True,18,67,sebsi:1  marzouki:1  
27,3,15,41,1,380,238,400,0,162,238,400,0,0,231,1,6,238,0,1800,1918,True,25,206,sebsi:1  marzouki:1  
27,3,14,40,2,301,146,400,0,254,146,400,0,0,144,2,0,146,0,1810,1848,True,6,138,sebsi:1  marzouki:1  
27,3,14,40,1,302,198,400,0,202,198,400,0,0,193,3,2,198,0,1820,1908,True,22,171,sebsi:1  marzouki:1  
27,3,13,39,1,254,122,300,0,178,122,300,0,0,116,4,2,122,0,1835,1845,True,20,96,sebsi:1  marzouki:1  
27,3,12,38,3,500,341,600,1,258,341,600,0,0,335,4,2,341,0,1815,1905,True,10,325,sebsi:1  marzouki:1  
27,3,12,38,2,501,378,601,0,223,378,601,0,0,376,2,0,378,0,1820,1915,True,10,366,sebsi:1  marzouki:1  
27,3,12,38,1,501,389,593,3,201,389,593,0,0,386,3,0,389,0,1813,1945,True,18,368,sebsi:1  marzouki:1  
27,3,12,37,2,535,308,600,0,292,308,600,0,0,303,3,2,308,0,1820,1853,True,38,265,sebsi:1  marzouki:1  
27,3,12,37,1,535,389,600,0,211,389,600,0,0,381,2,6,389,0,1815,1908,True,52,329,sebsi:1  marzouki:1  
27,3,12,36,2,524,290,611,0,321,290,611,0,0,290,0,0,290,0,1815,1915,True,17,273,sebsi:1  marzouki:1  
27,3,12,36,1,525,385,600,0,215,385,600,0,0,379,5,1,385,0,1830,2010,True,28,351,sebsi:1  marzouki:1  
27,3,11,35,1,187,123,200,0,77,123,200,0,0,123,0,0,123,0,1815,1850,True,1,122,sebsi:1  marzouki:1  
27,3,11,34,3,505,248,600,1,351,248,600,0,0,243,3,2,248,0,1800,1910,True,13,230,sebsi:1  marzouki:1  
27,3,11,34,2,506,292,599,2,305,292,599,0,0,289,3,0,292,0,1800,1935,True,21,268,sebsi:1  marzouki:1  
27,3,11,34,1,506,327,602,0,275,327,602,0,0,322,1,4,327,0,1800,1900,True,44,278,sebsi:1  marzouki:1  
27,3,10,33,1,311,181,400,0,219,181,400,0,0,175,3,3,181,0,1815,1900,True,93,82,sebsi:1  marzouki:1  
27,3,9,32,1,176,84,200,0,116,84,0,200,0,81,1,2,84,0,1800,1840,True,12,69,sebsi:1  marzouki:1  
27,3,8,31,1,146,64,200,0,136,64,200,0,0,62,2,0,64,0,1807,1830,True,9,53,sebsi:1  marzouki:1  
27,3,7,30,3,498,272,601,0,329,272,601,0,0,271,0,1,272,0,1815,1905,True,10,261,sebsi:1  marzouki:1  
27,3,7,30,2,499,316,600,0,284,316,600,0,0,309,5,2,316,0,1810,1915,True,15,294,sebsi:1  marzouki:1  
27,3,7,30,1,499,345,600,0,255,345,600,0,0,338,3,4,345,0,1815,1900,True,34,304,sebsi:1  marzouki:1  
27,3,6,29,1,280,195,300,1,104,195,300,0,0,190,3,2,195,0,1800,1845,True,6,184,sebsi:1  marzouki:1  
27,3,6,28,2,536,320,600,0,280,320,600,0,0,319,1,0,320,0,1818,1856,True,18,301,sebsi:1  marzouki:1  
27,3,6,28,1,537,399,600,0,201,399,600,0,0,391,4,4,399,0,1815,1920,True,49,342,sebsi:1  marzouki:1  
27,3,5,27,2,507,254,600,0,346,254,600,0,0,250,2,2,254,0,1815,1915,True,20,230,sebsi:1  marzouki:1  
27,3,5,27,1,508,353,600,0,247,353,600,0,0,345,6,2,353,0,1800,1923,True,43,302,sebsi:1  marzouki:1  
27,3,4,26,2,345,201,400,0,199,201,400,0,0,200,1,0,201,0,1810,1850,True,9,191,sebsi:1  marzouki:1  
27,3,4,26,1,346,232,400,0,168,232,400,0,0,231,0,1,232,0,1815,1841,True,28,203,sebsi:1  marzouki:1  
27,3,3,25,2,500,256,600,0,344,256,600,0,0,253,2,1,256,0,1820,1910,True,14,239,sebsi:1  marzouki:1  
27,3,3,25,1,500,324,600,0,276,324,600,0,0,319,5,0,324,0,1825,1945,True,34,285,sebsi:1  marzouki:1  
27,3,2,24,1,121,70,200,0,130,70,200,0,0,70,0,0,70,0,1810,1830,True,2,68,sebsi:1  marzouki:1  
27,3,2,23,3,441,217,500,0,283,217,500,0,0,212,5,0,217,0,1811,1847,True,20,192,sebsi:1  marzouki:1  
