geo_id,Circonscription,reg_voters,votes,valid_votes,blank,canceled,turnout,t_rnd1,t_dif,beji,marzouki,beji_per,marzouki_per,ecart_s_m
111,Tunis1,244599,159589,155122,1699,2768,65.25,68.76,-3.51,88327,66795,56.94,43.06,32.24
112,Tunis2,275611,198464,193723,1733,3008,72.01,75.06,-3.05,136194,57529,70.30,29.70,136.74
120,Ariana,246497,165957,161967,1595,2395,67.33,70.54,-3.21,104503,57464,64.52,35.48,81.86
140,Manouba,168242,105710,102670,964,2076,62.83,66.73,-3.90,58959,43711,57.43,42.57,34.88
130,BenArous,294292,201905,196976,2040,2889,68.61,72.90,-4.29,113542,83434,57.64,42.36,36.09
160,Zaghouane,80693,46801,45559,465,777,58.00,60.17,-2.17,28400,17159,62.34,37.66,65.51
220,Jendouba,166233,90389,87274,944,2171,54.37,57.04,-2.67,60864,26410,69.74,30.26,130.46
230,LeKef,118941,70144,67804,793,1547,58.97,60.38,-1.41,51100,16704,75.36,24.64,205.91
240,Siliana,97460,50564,48874,567,1123,51.88,56.98,-5.10,34810,14064,71.22,28.78,147.51
170,Bizerte,241696,146899,142592,1576,2731,60.78,64.07,-3.29,85547,57045,59.99,40.01,49.96
210,Beja,131770,75926,73121,834,1971,57.62,60.84,-3.22,51588,21533,70.55,29.45,139.58
151,Nabeul1,204301,136492,132662,1530,2300,66.81,69.84,-3.03,93298,39364,70.33,29.67,137.01
152,Nabeul2,165611,107700,104833,1014,1853,65.03,68.55,-3.52,73958,30875,70.55,29.45,139.54
410,Kairouan,215140,113464,110353,1037,2074,52.74,55.55,-2.81,54702,55651,49.57,50.43,-1.73
420,Kasserine,185409,95982,93353,651,1978,51.77,54.79,-3.02,43865,49488,46.99,53.01,-12.82
430,SidiBouzid,197584,86167,83794,714,1659,43.61,55.40,-11.79,52005,31789,62.06,37.94,63.59
610,Gafsa,162528,96416,94300,785,1331,59.32,59.65,-0.33,33753,60547,35.79,64.21,-79.38
620,Tozeur,61044,36258,35511,245,502,59.40,59.90,-0.50,10501,25010,29.57,70.43,-138.17
630,Kebili,84406,60304,59382,337,585,71.45,70.21,1.24,8408,50974,14.16,85.84,-506.26
310,Sousse,292301,192738,187809,1893,3036,65.94,68.42,-2.48,126399,61410,67.30,32.70,105.83
330,Mahdia,163839,98164,95609,1072,1483,59.91,61.82,-1.91,64627,30982,67.60,32.40,108.60
320,Monastir,254487,170789,166781,1461,2547,67.11,67.98,-0.87,122387,44394,73.38,26.62,175.68
341,Sfax1,192427,123341,120689,938,1714,64.10,68.03,-3.93,51014,69675,42.27,57.73,-36.58
342,Sfax2,248382,170178,166548,1355,2275,68.51,72.46,-3.95,80292,86256,48.21,51.79,-7.43
520,Medenine,193797,127153,125099,756,1298,65.61,64.10,1.51,23663,101436,18.92,81.08,-328.67
510,Gabes,178564,121095,118954,729,1412,67.82,67.53,0.29,23993,94961,20.17,79.83,-295.79
530,Tataouine,59752,36586,36046,223,317,61.23,58.42,2.81,4006,32040,11.11,88.89,-699.80
,France1,81676,36856,36252,346,258,45.12,48.77,-3.65,17813,18439,49.14,50.86,-3.51
,France2,114192,29322,28848,213,261,25.68,27.92,-2.24,16185,12663,56.10,43.90,27.81
,Allemagne,25575,6222,6149,41,32,24.33,27.53,-3.20,2585,3564,42.04,57.96,-37.87
,Italie,54072,5984,5929,16,39,11.07,12.66,-1.59,2295,3634,38.71,61.29,-58.34
,PaysArabesetrestedumonde,32182,11694,11549,64,81,36.34,39.15,-2.81,5052,6497,43.74,56.26,-28.60
,Amériqueetrestedel'Europe,52605,14129,13910,125,94,26.86,29.83,-2.97,6894,7016,49.56,50.44,-1.77
666,total,5285908,3189382,3110042,28755,50585,60.34,63.18,-2.84,1731529,1378513,55.68,44.32,25.61
