circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,ارادة الشعب,الأمان,الائتلاف الديمقراطي ,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الانفتاح والوفاء,البؤساء,البناء الوطني,التحالف الديمقراطي,التكافل الاجتماعي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحزب الاسلامي التونسي,الحزب الاشتراكي,الحزب التونسي,الحزب الجمهوري,الحزب الشعبي التقدمي,الشعب يريد,العريضة الشعبية,القائمة الدستورية الموحدة,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,تونس مش للبيع,تيار المحبة,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة وفاء,حزب الخضر للتقدم,حزب العمل التونسي,حزب المجد,حزب الوحدة,صوت شعب تونس,عزم توكل بناء,قائمة أمل تونس,قائمة الحزب الليبرالي التونسي,قائمة حركة الشباب الوطني التونسي,نحب بلادي نظيفة,حركة نداء تونس,observers
1,11,8,104,3,491,261,600,2,338,340,260,600,0,1,254,5,1,260,0,True,18h22,20h45,1,8,4,0,0,2,2,24,1,0,3,2,2,2,1,6,11,0,1,0,1,5,0,0,0,3,4,4,0,3,0,0,1,71,1,0,0,3,2,0,0,0,1,0,0,85,حركة النهضة:1  نداء تونس:1  تيار المحبة:1  
1,11,8,104,2,493,324,600,0,276,276,324,600,0,0,300,19,5,324,0,False,18h30,20h25,0,3,1,1,1,1,1,35,0,3,1,0,0,1,2,3,3,3,4,0,4,2,2,0,1,4,1,6,2,0,0,5,1,101,5,2,0,2,9,0,0,1,1,2,1,85,حركة النهضة:2  الاتحاد الوطني الحر:1  نداء تونس:2  تيار المحبة:1  
1,11,8,104,1,493,333,600,0,267,267,333,600,0,0,315,13,5,333,0,False,19h,21h30,0,4,0,1,1,0,5,33,5,0,0,1,2,2,2,3,4,1,2,2,1,4,0,4,4,15,0,2,0,3,1,4,1,80,5,2,1,0,8,1,0,2,1,0,0,108,حركة النهضة:2  نداء تونس:1  القائمة الدستورية الموحدة:1  تيار المحبة:1  
1,11,7,103,1,248,177,300,2,121,123,177,300,0,0,168,9,0,177,0,False,1815,2045,2,4,0,0,1,2,0,98,0,1,0,0,0,0,1,1,8,0,1,0,0,3,2,1,2,1,1,2,1,0,1,1,1,46,0,1,0,0,6,0,0,2,0,1,1,46,حركة النهضة:2  نداء تونس:2  
1,11,7,102,3,501,327,600,1,273,273,327,600,0,0,323,3,1,327,0,False,1815,2100,1,5,2,0,2,1,0,47,3,1,1,0,2,0,2,6,11,0,3,1,2,4,0,0,3,0,0,3,0,3,1,4,1,138,2,1,1,2,1,1,0,0,2,1,0,65,حركة النهضة:2  نداء تونس:1  تيار المحبة:1  
1,11,7,102,2,501,358,600,2,240,242,358,600,0,0,343,10,5,358,0,False,1827,2130,2,4,2,2,1,2,0,36,2,2,1,2,1,0,1,5,9,1,2,1,1,4,1,1,2,4,0,1,1,3,0,4,0,155,6,4,1,1,3,3,0,3,1,1,1,66,حركة النهضة:1  نداء تونس:1  العريضة الشعبية:1  تيار المحبة:1  
1,11,7,102,1,501,383,600,3,214,217,383,600,0,0,338,34,11,383,0,False,0637,2110,1,5,1,0,4,0,2,37,3,1,2,4,1,3,3,5,7,1,2,3,2,5,1,1,7,3,1,4,0,8,1,3,2,110,2,2,1,0,9,2,0,2,0,2,0,85,حركة النهضة:1  تيار المحبة:1  نداء تونس:1  
1,11,7,101,2,570,331,590,2,257,259,331,590,0,0,314,8,9,331,0,True,18H45,21H30,1,9,2,0,1,0,2,67,2,0,1,2,1,0,1,9,6,0,0,2,2,1,1,0,4,0,0,4,0,2,0,1,1,88,3,3,0,2,1,1,1,1,0,0,0,92,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  تيار المحبة:1  
1,11,7,101,1,570,391,600,1,208,209,391,600,0,0,337,38,16,391,0,True,1838,2115,0,5,1,1,0,1,1,45,2,1,5,0,2,2,2,5,4,2,2,0,1,5,5,0,1,0,0,4,0,0,1,3,3,116,6,1,1,1,6,0,1,3,1,2,1,95,نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  حركة وفاء:1  
1,11,7,100,1,534,335,600,0,265,265,335,600,0,0,326,2,7,335,0,False,1825,2025,2,6,1,2,2,0,3,45,0,2,1,0,1,1,2,7,7,1,0,1,0,8,0,0,3,0,1,3,0,2,1,2,2,94,11,4,1,0,3,2,0,0,0,2,1,102,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
1,11,6,99,4,530,332,600,5,263,268,332,600,0,0,319,6,7,332,0,True,1900,2120,0,4,0,0,0,0,1,78,0,1,1,0,1,0,0,3,10,1,1,2,0,12,0,0,0,1,2,3,0,2,1,1,0,98,3,1,0,1,1,0,0,1,0,1,0,88,حركة النهضة:1  نداء تونس:1  الحزب الجمهوري:1  
1,11,6,99,3,531,329,600,0,271,271,329,600,0,0,321,5,3,329,0,True,1905,2106,1,5,1,0,1,0,0,37,1,1,0,0,0,0,0,1,4,1,3,0,1,14,1,0,1,2,2,4,1,7,2,1,2,113,3,1,0,1,0,1,0,2,0,0,2,104,نداء تونس:1  الحزب الجمهوري:1  تيار المحبة:1  المؤتمر من أجل الجمهورية:1  حركة النهضة:1  
1,11,6,99,2,531,385,600,0,215,215,385,600,0,0,360,15,10,385,0,True,1845,2103,1,4,1,0,0,0,4,47,2,3,2,2,1,2,0,2,6,4,2,1,1,9,2,2,1,0,2,2,1,1,0,2,2,142,3,1,0,2,13,0,0,5,1,0,0,84,حركة النهضة:1  المؤتمر من أجل الجمهورية:1  الحزب الجمهوري:1  الاتحاد الوطني الحر:1  الحزب الجمهوري:1  
1,11,6,99,1,531,415,600,1,185,186,414,600,0,1,379,29,6,414,0,True,1910,2140,2,4,2,0,1,0,2,34,3,1,3,1,3,1,2,4,0,4,2,2,1,7,1,2,1,2,0,0,1,4,7,1,2,122,4,2,3,4,14,3,0,2,1,2,3,119,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
1,11,5,98,7,520,363,600,0,237,237,363,600,0,0,356,3,4,363,0,False,1830,2140,1,7,1,0,0,2,2,51,3,0,2,1,2,0,1,8,11,1,1,0,1,3,0,1,2,2,0,4,0,2,1,0,1,145,0,0,0,0,3,2,1,0,0,0,1,93,حركة النهضة:1  نداء تونس:1  
1,11,5,98,6,523,319,600,0,281,381,319,600,0,0,310,3,6,319,0,False,1912,2103,0,5,1,0,0,0,0,57,1,0,0,0,1,0,2,11,7,0,1,0,0,4,0,1,1,0,0,2,0,1,0,2,1,158,1,1,0,1,0,1,0,0,0,1,0,92,حركة النهضة:1  الحزب الجمهوري:1  نداء تونس:1  العريضة الشعبية:1  
