circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, اتحاد الشباب الديمقراطي التونسي,آفاق تونس,أحرار القيروان,الأمل,الأهل,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البرنامج,التحالف الديمقراطي,التخطيط والتنمية,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغاربي,الحلم القيرواني,الخمسة,الخمسة الذهبية,الربيع العربي لتحقيق السيادة الاقتصادية,الزيتونة,الشعب يريد,الضوء,العمل,القائمة البورقيبية,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المبادرة,الوفاء لمشروع الشهيد,باب الأمل,تونس للجميع,تيار المحبة,حركة البديل,حركة التونسي,حركة الجمهورية,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة مقاومة,حركة نداء تونس,حركة وفاء,حزب الأصالة,حزب الأمان,حزب الأمانات والاستراتيجيات التنموية,حزب الحداثة,حزب العدالة والتنمية,حزب العدل والتنمية,حزب العريضة الشعبية,حزب الغد,حزب الكرامة والمساواة,حزب المجد,حزب صوت شعب تونس,خير القيروان,شباب تونس الخضراء,صوت الشعب الحر,صوت المعاق,فرسان الحرية,فلاقة,مواطنون بلا حدود,observers
14,1,15,35,2,341,152,400,1,247,248,152,400,0,0,142,3,7,152,0,False,"18,10",,0,1,0,0,1,5,2,0,0,0,1,1,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,3,1,0,0,0,4,0,0,0,1,0,2,92,0,16,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,حركة النهضة:  حركة نداء تونس:  
14,1,15,35,1,340,251,400,0,149,149,251,400,0,0,212,15,24,251,0,False,19,"20,20",0,0,0,0,0,3,1,0,0,1,1,1,2,0,0,0,0,1,2,1,1,3,0,1,2,1,1,1,0,1,0,0,6,0,1,0,0,0,0,109,0,53,2,1,1,0,0,0,1,0,2,2,2,1,3,0,0,0,0,3,1,حركة نداء تونس:  حركة النهضة:  
14,1,14,34,1,257,159,300,0,141,141,159,300,0,0,151,4,4,159,0,False,18,20,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,4,1,2,2,0,2,1,0,0,2,0,0,0,2,13,0,0,0,1,0,3,67,0,32,2,1,0,0,0,1,2,2,1,0,0,0,1,0,1,2,0,0,0,حركة نداء تونس:  حركة النهضة:  
14,1,14,33,2,408,159,500,0,341,341,159,500,0,0,152,5,2,159,0,False,18,"19,55",0,1,0,0,0,10,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,0,0,1,1,0,1,50,0,57,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,تيار المحبة:2  حركة نداء تونس:2  حركة النهضة:  
14,1,14,33,1,408,268,300,0,232,232,268,300,0,0,230,17,21,268,0,False,1810,2058,0,1,1,1,0,5,1,0,1,0,2,0,2,1,0,4,1,5,4,0,1,2,0,3,0,0,0,0,1,0,3,0,30,1,2,0,0,0,4,62,0,81,0,0,0,1,0,1,1,3,0,2,0,1,0,1,0,1,0,0,0,حركة النهضة:1  الحزب الجمهوري:1  تيار المحبة:1  
14,1,13,32,1,244,138,300,0,162,162,138,300,0,0,131,6,1,138,0,False,1800,2000,0,1,0,0,0,5,0,0,3,0,2,0,2,0,0,1,0,1,1,1,2,2,0,4,0,0,0,1,1,0,2,1,24,0,0,13,0,0,2,24,0,29,1,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,حركة النهضة:1  
14,1,13,31,1,211,98,300,1,201,202,98,300,0,0,93,5,0,98,0,False,18:15,19:15,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,2,7,0,0,0,6,0,1,4,0,0,0,15,1,39,0,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,حركة النهضة:1  المبادرة:1  تيار المحبة:1  
14,1,13,30,1,570,285,600,0,315,315,285,315,285,0,257,11,17,285,0,False,18:10,20:55,0,1,3,1,0,7,0,1,0,1,1,0,3,0,0,7,0,1,1,1,2,2,0,0,1,0,3,3,3,1,0,0,8,1,0,79,1,1,2,42,1,56,3,1,1,0,3,2,3,0,3,0,1,2,1,1,0,0,1,0,1,تيار المحبة:1  حركة نداء تونس:1  حركة النهضة:1  
14,1,12,29,1,210,120,300,0,180,180,120,300,0,0,114,6,0,120,0,True,18,,0,1,0,1,0,2,1,1,2,0,0,1,0,0,0,5,0,2,0,0,1,0,1,2,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,35,0,48,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  
14,1,12,28,1,242,110,300,0,190,190,110,110,190,0,106,3,1,110,0,False,18,,0,1,0,1,0,4,0,0,0,0,2,0,2,1,0,2,1,1,2,0,0,1,0,0,2,1,0,2,1,1,0,0,4,0,0,3,0,0,0,36,0,31,0,1,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  
14,1,11,27,2,567,186,600,0,413,413,187,600,0,1,176,4,7,187,0,False,18.15,,0,1,0,0,0,6,0,1,3,0,1,0,2,0,0,2,0,2,0,0,1,1,0,0,1,0,0,1,4,0,0,0,3,0,0,0,1,1,1,86,0,50,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,حركة النهضة:1  حركة نداء تونس:2  
