circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أحرار القصرين,أمل القصرين,أول الغيث,أولاد الشعب,اتحاد الشباب الديمقراطي,اتحاد القوى الشابية,الأصالة والتقدم,الأمل,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البديل,البناء الوطني,التحالف الديمقراطي,التكتل الشعبي من أجل تونس,التكتل من أجل العمل والحريات,التنمية الشاملة,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحرية والانصاف,الحزب الاشتراكي,الحزب الجمهوري,الذهبية المستقلة,الربيع العربي لتحقيق السيادة,الشباب المدني الحر,الشباب للرقي والبناء,الشعب يريد,العريضة الشعبية,العهد,القرار,القصرين أولا,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,المستقبل,المستقلة 17 ديسمبر,المستقلة الأحرار,المستقلة الشعانبي,المستقلة لدفع التنمية و التشغيل,المنار الشعبية الاجتماعية,النزر للديمقراطية والتنمية,الوصية,الياسمين,بني وطني,تونس العزيزة,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الغد,رد الاعتبار,شباب الوسط للعمل والتنمية,شبابنا فخر وعزة,صقور الحرية,صوت القصرين,صوت المستقل,"غدا,,, أفضل",نداء قرطاج,نعم نسطتيع,observers
15,5,12,89,1,284,164,300,0,136,136,164,300,0,0,152,6,6,164,0,False,18:30,20:15,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,6,0,0,15,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,1,1,0,0,0,1,0,0,1,2,1,0,0,55,49,1,0,0,0,0,0,3,0,0,0,1,0,حركة النهضة:  حركة نداء تونس:  
15,5,11,88,1,301,115,400,0,285,285,115,400,0,0,102,12,1,115,0,True,18.15,19.40,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,16,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,18,32,0,1,0,0,0,1,1,1,0,0,1,0,حركة النهضة:3  حركة نداء تونس:2  التكتل من أجل العمل والحريات:1  التيار الديمقراطي:1  
15,5,10,87,1,120,69,200,1,130,131,69,200,0,0,57,7,5,69,0,False,1815,1920,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,18,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8,7,0,0,0,0,0,0,0,4,0,1,1,0,حركة النهضة:1  حركة نداء تونس:2  التيار الديمقراطي:1  
15,5,10,86,1,179,89,200,1,110,111,89,200,0,0,65,6,18,89,0,False,1800,1900,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,9,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,5,0,1,8,15,1,1,0,0,0,0,0,2,0,0,0,0,التيار الديمقراطي:1  حركة نداء تونس:1  
15,5,9,85,1,374,229,400,0,171,171,229,400,0,0,215,11,3,229,0,False,18.21,21.10,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,80,0,0,12,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,2,0,0,1,0,1,0,2,0,2,1,1,0,43,49,2,2,0,0,0,0,1,0,0,0,0,0,حركة النهضة:1  التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  
15,5,9,84,1,223,107,300,1,192,193,107,300,0,0,96,9,2,107,0,False,18:30,19:45,0,2,0,2,0,2,1,1,0,0,3,1,0,0,0,0,5,0,27,2,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,16,16,1,3,0,0,0,1,0,0,1,0,1,0,حركة النهضة:3  حركة نداء تونس:  التيار الديمقراطي:  التكتل من أجل العمل والحريات:  :  
15,5,8,83,1,550,336,620,0,284,284,336,620,0,0,303,21,12,336,0,True,1815,1945,3,2,0,4,0,1,0,0,0,0,6,1,0,0,1,0,69,0,1,1,0,0,0,2,0,2,0,1,0,0,0,1,0,1,1,1,9,1,1,0,0,0,7,2,1,17,2,1,1,9,1,2,1,0,6,48,81,4,0,0,0,1,0,1,5,0,2,0,2,التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  تيار المحبة:1  المستقلة لدفع التنمية و التشغيل:1  حركة النهضة:1  
15,5,8,82,1,344,200,400,1,200,201,199,400,0,1,180,16,3,199,0,False,1800,2030,0,1,2,2,0,0,0,0,0,2,3,0,0,0,6,2,4,0,4,3,1,0,0,1,2,2,0,0,0,1,0,4,1,2,1,0,0,0,1,0,2,2,39,3,0,0,0,0,0,4,0,6,0,1,2,16,51,3,0,1,0,0,0,0,1,0,1,2,1,حركة النهضة:1  حركة نداء تونس:2  التكتل من أجل العمل والحريات:1  المستقلة لدفع التنمية و التشغيل:1  
15,5,7,81,1,192,120,300,0,180,180,120,300,0,0,109,10,1,120,0,False,"18,30",20,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,30,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,0,4,0,1,0,1,1,12,32,0,1,1,0,0,0,0,1,0,3,1,0,التكتل من أجل العمل والحريات:2  حركة نداء تونس:  حركة النهضة:2  
15,5,7,80,1,98,54,200,2,144,146,54,200,0,0,40,12,2,54,0,False,18,"19,15",0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,10,10,4,0,0,0,0,0,0,0,0,0,0,1,
