circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أمانة,أمن شامل لانقاذ تونس,اتحاد الشباب الديمقراطي,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارادة,التحالف الديمقراطي,التكتل من اجل العمل والحريات,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجريد,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الشعب يريد,الصمود,العقل مفتاح التطور والنمر,العمل والأمل,العين الحمراء,المؤتمر من أجل الجمهورية,النخلة,تونس العزيزة,تيار المحبة,جبهة الاحرار,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة وفاء,حزب الأمان,حزب الغد,حزب النور للديمقراطية والتنمية,شمس الجنوب,صحوة الجريد,صوت الجريد,صوت شعب تونس,كلمة حق,لمجد الجريد,حركة نداء تونس,ولاء,observers
18,2,7,23,2,341,180,400,2,218,220,180,400,0,0,176,1,3,180,0,True,18:43,20:00,1,0,0,0,6,0,4,0,1,0,0,1,0,1,2,0,0,0,0,1,2,3,1,0,0,0,1,1,1,38,0,0,0,0,0,0,6,0,3,80,22,1,الحزب الجمهوري:1  حركة النهضة:1  لمجد الجريد:1  تونس العزيزة:1  نداء تونس:1  الاتحاد الوطني الحر:1  النخلة:1  
18,2,7,23,1,341,256,400,0,144,144,256,400,0,0,235,15,6,256,0,False,1830,2045,3,0,0,1,8,1,13,2,0,1,0,0,1,0,2,1,1,1,1,0,1,4,2,1,0,1,3,0,3,53,0,0,1,0,4,0,2,0,6,90,25,3,النخلة:1  الارادة:1  تونس العزيزة:1  نداء تونس:1  الاتحاد الوطني الحر:1  صوت الجريد:1  الحزب الجمهوري:1  حركة النهضة:1  
18,2,7,22,4,546,250,600,2,348,350,250,600,0,0,248,2,0,250,0,False,18:20,19:17,0,0,0,0,16,0,12,8,0,1,0,1,1,1,2,2,0,3,2,0,1,2,2,0,0,0,1,0,6,45,0,1,0,0,2,2,17,2,0,95,22,1,حركة النهضة:1  نداء تونس:1  الجريد:1  الاتحاد الوطني الحر:1  العقل مفتاح التطور والنمر:1  لمجد الجريد:1  النخلة:1  تونس العزيزة:1  
18,2,7,22,3,546,355,600,1,244,245,355,600,0,1,345,3,7,355,0,False,18:00,21:15,2,1,0,1,8,1,15,3,0,7,0,1,3,0,1,3,1,2,3,2,10,1,1,1,0,0,0,1,26,74,2,0,0,0,1,3,13,2,1,112,38,5,حركة النهضة:1  تونس العزيزة:1  نداء تونس:1  الاتحاد الوطني الحر:1  العين الحمراء:1  النخلة:1  شمس الجنوب:1  حركة الشعب:1  
18,2,7,22,2,546,412,600,0,188,188,412,600,0,0,401,9,2,412,0,False,1842,2025,1,1,0,2,16,2,20,7,0,3,1,3,2,1,0,4,1,1,7,1,4,0,1,0,1,1,3,0,37,109,0,0,0,3,2,3,7,3,0,107,43,4,نداء تونس:1  لمجد الجريد:1  حركة الشعب:1  حركة النهضة:1  الاتحاد الوطني الحر:1  الارادة:1  
18,2,7,22,1,546,391,600,5,208,213,390,603,3,1,338,22,30,390,0,True,19:20,21:50,3,3,1,3,14,4,13,8,3,2,2,1,2,3,3,2,3,0,3,4,6,4,0,3,1,0,5,2,31,49,3,1,2,0,3,4,5,2,1,97,36,6,تونس العزيزة:1  صوت الجريد:1  حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
18,2,7,21,2,415,250,500,3,248,251,249,500,0,1,244,4,1,249,0,True,18:20,20:25,7,0,0,0,12,0,14,4,0,3,2,3,1,2,2,0,0,0,5,1,2,2,2,0,1,3,0,0,3,54,0,0,0,0,1,1,5,2,3,79,30,0,الارادة:1  الاتحاد الوطني الحر:1  الحزب الجمهوري:1  حركة النهضة:1  حركة الشعب:1  لمجد الجريد:1  النخلة:1  
18,2,7,21,1,415,322,500,1,177,178,322,500,0,0,304,8,10,322,0,False,1815,2035,7,0,0,0,12,5,17,3,1,1,1,1,0,1,2,1,0,0,9,0,5,5,1,0,0,2,3,0,1,66,2,0,1,1,1,5,4,4,0,92,47,3,الارادة:1  الاتحاد الوطني الحر:1  الحزب الجمهوري:1  صوت الجريد:1  نداء تونس:1  تونس العزيزة:1  حركة النهضة:1  النخلة:1  
18,2,6,20,2,428,206,500,1,293,294,206,500,0,0,206,0,0,206,0,False,18:20,19:45,4,0,0,0,26,1,10,2,0,2,1,5,1,1,4,1,0,0,1,1,8,1,0,1,0,1,0,0,1,40,0,1,0,0,1,0,1,0,1,55,34,1,حركة النهضة:1  آفاق تونس:1  نداء تونس:1  تونس العزيزة:1  الاتحاد الوطني الحر:1  
18,2,6,20,1,428,337,500,1,163,164,336,500,0,1,332,3,1,336,0,False,1830,2020,1,2,1,0,15,4,9,10,0,8,0,5,1,2,3,0,0,0,3,1,9,2,1,2,0,0,0,0,2,87,0,0,0,0,5,0,2,1,1,76,78,1,تونس العزيزة:1  نداء تونس:1  الحزب الجمهوري:1  الاتحاد الوطني الحر:1  حركة النهضة:1  لمجد الجريد:1  
