circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,الاتحاد الوطني الحر,الارتقاء,الاصلاح و المصالحة,التحدي,التيار الديمقراطي,الثقافة و العمل,الجبهة الشعبية,الحركة الدستورية,الحزب الجمهوري,العلم,الكرامة,الللقاء الدستوري ,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المعتدلة المستقلة,تونس الزيتونة,تيار المحبة ,حركة الأنفتاح و الوفاء,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الغد,حزب المبادرة,نفزواة أولا,observers
19,3,7,36,1,441,332,498,1,165,166,332,498,0,0,313,6,13,332,0,False,18.30,20.15,7,0,1,4,0,1,11,3,1,0,1,3,1,9,0,1,4,1,3,0,146,64,49,0,1,1,1,الجبهة الشعبية:1  حركة الشعب:3  حركة النهضة:2  حركة نداء تونس:1  
19,3,7,35,3,496,211,598,0,387,387,211,598,0,0,207,3,1,211,0,True,18.20,19.25,4,0,3,5,6,1,5,2,3,1,1,1,1,20,0,3,4,1,0,1,45,72,23,0,0,4,1,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
19,3,7,35,2,498,308,600,0,292,292,308,600,292,0,292,10,6,308,0,True,18h10,20h05,7,0,0,1,3,2,11,0,1,0,0,0,2,29,0,2,2,0,1,1,62,142,21,0,1,4,0,حركة الشعب:1  الجبهة الشعبية:1  حركة النهضة:1  حركة نداء تونس:1  
19,3,7,35,1,498,361,600,0,239,239,361,600,0,0,292,32,37,361,0,True,18h20,21h10,7,3,3,6,2,2,2,2,4,4,1,2,8,22,1,2,8,3,8,1,52,114,20,2,0,10,3,حركة الشعب:1  الجبهة الشعبية:1  حركة النهضة:1  حركة نداء تونس:1  
19,3,6,34,1,500,316,600,0,284,284,316,600,0,0,297,7,12,316,0,True,18h06,20h,19,0,2,0,1,2,3,1,2,0,0,0,3,58,0,1,1,0,5,1,59,106,13,1,0,18,1,المؤتمر من أجل الجمهورية:1  الاتحاد الوطني الحر:1  حركة الشعب:1  حركة النهضة:1  
19,3,6,33,2,453,241,600,0,359,359,241,600,0,0,235,1,5,241,0,False,18h15,20h,23,1,3,1,6,1,1,2,1,0,0,0,2,36,0,0,1,0,3,0,59,68,22,0,0,5,0,المؤتمر من أجل الجمهورية:1  حركة الشعب:1  الاتحاد الوطني الحر:1  حركة النهضة:2  
19,3,6,33,1,453,347,600,0,254,254,346,600,0,1,319,15,12,346,0,False,18h42,21h41,13,0,1,0,2,3,3,2,2,2,3,3,5,40,0,2,1,3,2,3,68,108,39,2,0,11,1,المؤتمر من أجل الجمهورية:1  الاتحاد الوطني الحر:1  حركة الشعب:1  حزب المبادرة:1  حركة النهضة:1  
19,3,5,32,2,457,277,600,2,321,323,277,600,0,0,272,2,3,277,0,False,"18,10","20,54",6,0,0,1,1,1,2,0,4,1,1,1,0,11,0,0,1,0,0,0,88,88,61,1,0,3,1,حركة الشعب:  حركة النهضة:  حركة نداء تونس:  
19,3,5,32,1,458,373,600,0,228,228,372,600,0,1,342,22,8,372,0,False,"18,30","20,10",5,1,0,2,0,3,5,1,1,2,4,0,3,7,1,0,6,2,2,1,77,131,83,1,0,3,1,حركة نداء تونس:  حركة الشعب:  حركة النهضة:  
19,3,5,31,2,560,296,700,0,404,404,296,700,0,0,281,11,4,296,0,False,18h20,20h10,5,1,0,1,0,1,2,0,1,0,0,1,0,13,0,0,0,1,1,0,86,102,64,1,0,0,1,حركة النهضة:1  حركة نداء تونس:1  حركة الشعب:1  
19,3,5,31,1,561,434,703,0,269,269,434,703,0,0,385,36,13,434,0,False,"18,40",,8,0,0,2,4,1,3,4,2,2,0,1,1,2,1,2,6,2,2,0,80,148,104,2,2,3,3,المؤتمر من أجل الجمهورية:1  حركة النهضة:1  حركة نداء تونس:1  حركة الشعب:1  
19,3,4,30,3,400,231,500,0,269,269,231,500,0,0,231,0,0,231,0,False,18/20,20/10,3,0,0,0,1,1,7,0,1,0,0,0,0,26,0,0,2,0,0,0,98,44,42,0,0,6,0,حركة الشعب:2  حركة نداء تونس:1  حركة النهضة:1  حزب المبادرة:1  
19,3,4,30,2,402,274,502,0,228,228,274,502,0,0,269,4,1,274,0,False,1815,2000,2,0,0,0,0,2,2,0,1,0,0,1,0,16,0,0,6,0,0,0,121,71,33,2,1,11,0,حركة نداء تونس:1  حركة الشعب:2  حزب المبادرة:1  حركة النهضة:1  
19,3,4,30,1,402,292,500,1,207,208,292,500,0,0,252,15,25,292,0,False,"18,03",,2,2,0,5,1,1,5,1,2,1,1,1,0,14,1,0,3,1,1,1,96,52,49,0,0,11,1,حركة النهضة:  حركة الشعب:  حركة نداء تونس:  حزب المبادرة:  
19,3,3,29,2,386,198,500,0,302,302,198,500,0,0,189,0,9,198,0,True,18.10,19.30,4,4,0,0,0,1,0,0,1,1,2,0,0,11,0,1,0,1,2,3,49,80,16,0,0,12,1,حزب المبادرة:1  حركة الشعب:1  حركة النهضة:1  
19,3,3,29,1,387,298,500,1,202,203,297,500,0,1,273,20,4,297,0,False,18.30,20.00,2,4,0,2,0,5,4,1,0,2,3,2,2,11,0,0,3,1,5,0,43,141,22,2,1,15,2,حركة النهضة:1  حزب المبادرة:1  حركة الشعب:1  
19,3,3,28,2,512,230,600,3,367,370,230,600,0,0,225,5,0,230,0,True,1830,2045,4,1,1,0,2,6,0,1,0,0,2,0,0,5,0,1,2,0,4,0,105,71,20,0,0,0,0,حركة الشعب:1  الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
19,3,3,28,1,512,381,600,0,219,219,381,600,0,0,355,20,6,381,0,True,1815,2050,3,1,2,3,1,7,4,0,3,0,2,1,1,8,0,1,6,1,4,0,160,102,32,2,2,7,2,حركة الشعب:2  حركة نداء تونس:2  حركة النهضة:1  
19,3,3,27,2,542,295,600,0,305,305,295,0,0,0,279,8,8,295,0,True,1808,2000,12,0,1,0,1,15,6,1,1,1,5,1,2,14,0,2,3,1,0,0,110,74,26,1,0,0,2,حركة النهضة:1  حركة الشعب:1  
19,3,3,27,1,543,418,604,1,185,186,418,604,0,0,389,13,16,418,0,True,1820,2100,6,0,0,2,0,43,5,0,0,1,22,0,2,13,1,4,12,1,2,1,124,107,30,4,0,5,4,حركة النهضة:1  حركة الشعب:1  حركة نداء تونس:1  حزب المبادرة:1  
19,3,2,26,1,334,192,400,0,208,208,192,400,0,0,182,9,1,192,0,True,1814,1919,1,1,2,2,2,1,4,0,1,1,1,4,0,9,0,0,6,2,1,1,41,83,16,2,1,0,0,حركة النهضة:1  حركة الشعب:1  حركة نداء تونس:1  الللقاء الدستوري :1  
19,3,2,25,2,393,186,500,0,314,314,186,500,0,0,180,1,5,186,0,True,18.37,20.10,1,0,0,0,0,1,2,1,0,0,0,1,0,4,0,1,3,0,0,0,94,63,9,0,0,0,0,حركة الشعب:1  حركة النهضة:1  
19,3,2,25,1,393,299,500,4,197,201,299,500,0,0,257,16,26,299,0,True,18.46,20.40,7,2,1,2,0,1,0,0,1,0,0,3,0,4,0,1,13,0,2,0,128,80,3,1,2,3,3,حركة النهضة:1  حركة الشعب:1  
19,3,2,24,2,435,209,500,1,288,289,209,498,2,0,204,2,3,209,0,True,18.35,19.50,6,1,0,0,1,1,1,0,0,0,0,0,0,6,0,0,3,0,0,0,93,76,12,2,0,1,1,حركة الشعب:1  حركة النهضة:1  حركة نداء تونس:1  حزب المبادرة:1  
19,3,2,24,1,435,301,500,0,199,199,301,500,0,0,272,5,24,301,0,True,18.20,19.50,7,2,1,3,1,2,0,1,2,3,4,1,0,10,2,0,5,3,3,0,99,113,4,2,1,2,1,حركة الشعب:1  حركة النهضة:1  حركة نداء تونس:1  
19,3,2,23,3,409,156,500,0,344,344,156,500,0,0,148,1,7,156,0,True,18.00,19.50,0,0,0,0,3,0,2,0,1,0,1,0,0,2,0,0,1,0,1,0,79,50,6,1,0,1,0,حركة الشعب:1  حزب المبادرة:1  نفزواة أولا:1  حركة النهضة:1  
19,3,2,23,2,410,249,500,0,251,251,249,500,0,0,244,2,3,249,0,True,18.08,19.30,0,0,0,1,3,0,2,0,1,1,1,0,0,5,0,0,3,0,0,0,118,101,7,0,0,1,0,حركة الشعب:1  حركة النهضة:1  
19,3,2,23,1,410,322,500,1,177,178,322,500,0,0,303,6,13,322,0,False,18.20,20.40,6,1,0,5,1,0,0,1,1,1,1,1,0,5,0,1,7,3,1,0,123,119,17,0,0,7,2,حركة الشعب:1  حركة نداء تونس:1  حركة النهضة:1  
19,3,1,22,2,542,352,600,0,249,249,351,600,0,1,340,9,2,352,1,False,1850,2130,5,0,0,0,9,0,6,0,2,0,0,0,1,15,0,2,4,0,3,0,180,89,23,1,0,0,0,حركة النهضة:1  حزب المبادرة:1  حركة الشعب:1  
19,3,1,22,1,543,460,599,3,139,142,457,599,2,3,414,26,17,457,0,False,1850,2138,4,1,1,2,1,1,4,0,2,1,1,3,1,10,3,1,20,2,6,0,131,158,50,2,0,6,3,حركة الشعب:1  حركة نداء تونس:1  حركة النهضة:1  
19,3,1,21,3,408,210,500,1,290,291,209,500,0,1,200,4,5,209,0,True,1815,1945,7,0,3,0,0,2,5,0,1,0,1,0,0,13,1,1,8,0,0,0,35,106,16,0,0,1,0,حركة نداء تونس:1  حركة النهضة:1  حركة الشعب:1  
19,3,1,21,2,409,295,499,1,203,204,295,499,0,0,290,3,2,295,0,True,18h20,20h50,1,1,0,0,1,3,5,0,0,1,4,1,0,18,0,1,12,0,1,0,50,164,24,0,0,2,1,حركة الشعب:1  حركة نداء تونس:1  
19,3,1,21,1,409,304,500,0,196,196,304,500,0,0,258,25,21,304,0,True,1837,2030,6,1,1,2,0,1,6,3,2,2,2,2,1,7,0,2,13,0,1,0,36,127,31,1,1,7,3,حركة الشعب:1  حركة النهضة:1  حركة نداء تونس:1  حزب المبادرة:1  :  
19,3,1,20,4,494,261,600,0,339,339,261,600,0,0,256,3,2,261,0,True,1815,1955,7,2,0,0,0,0,2,1,2,0,0,0,0,10,0,3,2,0,0,0,113,78,34,1,0,0,1,حركة الشعب:0  حركة نداء تونس:1  حركة نداء تونس:1  
19,3,1,20,3,496,325,600,1,274,275,325,600,0,0,314,2,9,325,0,True,1815,2030,4,0,1,0,3,1,6,1,1,0,1,0,2,11,0,0,6,0,1,0,148,100,24,0,0,3,1,حركة نداء تونس:1  حركة النهضة:1  حركة الشعب:1  
19,3,1,20,2,496,408,600,2,190,192,408,600,0,0,399,7,2,408,0,True,1900,2140,8,1,0,3,1,1,12,0,1,1,3,0,0,8,1,0,11,0,1,1,167,129,45,0,0,4,0,حركة الشعب:1  حركة نداء تونس:1  حركة النهضة:1  
19,3,1,20,1,496,370,600,1,229,230,370,600,0,0,311,48,11,370,0,False,1800,2045,4,4,1,3,1,3,4,1,1,2,5,3,3,4,4,5,14,4,3,0,75,98,57,4,1,2,5,حركة الشعب:1  حركة النهضة:1  حركة نداء تونس:1  الاصلاح و المصالحة:1  
19,5,7,65,3,495,271,600,0,329,329,271,600,0,0,263,3,5,271,0,True,18.05,20.18,25,0,3,1,6,0,11,0,3,1,0,0,2,32,0,1,2,0,0,0,21,103,28,1,0,11,12,حركة النهضة:1  الجبهة الشعبية:1  حركة الشعب:1  
19,5,7,65,2,495,362,600,0,238,238,362,600,0,0,351,5,6,362,0,False,18.26,20.50,35,2,0,3,15,0,12,4,3,0,3,1,2,20,0,0,4,0,1,0,52,148,22,2,0,13,9,حركة نداء تونس:1  حركة النهضة:1  حركة الشعب:1  حزب المبادرة:1  
19,5,7,65,1,495,379,600,1,220,221,379,600,0,0,335,15,29,379,0,True,18.26,21.23,12,2,3,5,6,4,16,4,4,2,1,2,1,19,0,4,10,3,2,3,28,137,33,5,1,20,8,الجبهة الشعبية:1  حركة النهضة:1  حزب المبادرة:1  الاتحاد الوطني الحر:1  
