circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,أبناء الشعب,أمن شامل لانقاذ تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البناء الوطني,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغربي,الحزب الليبرالي التونسي,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,القائمة البرقيبية,المؤتمر من أجل الجمهورية,النور للديمقراطية والتنمية,اليد في اليد,تونس للجميع,تيار المحبة الائتلافية ,تيار صوت الشعب الحر,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب التكتل,حزب العمل التونسي,حزب اللقاء الدستوري,حزب المبادرة,حزب المجد,صوت شعب تونس,عزم-توكل-بناء,لنا الحق,محيطنا نماء لثروتنا,نداء قرطاج,observers
2,7,9,69,2,463,324,500,1,175,176,324,500,0,0,321,1,2,324,0,True,"19,55","22,15",0,0,0,0,8,1,20,1,1,3,19,0,17,1,1,0,6,0,0,0,0,0,8,0,0,0,1,1,0,0,0,3,96,124,3,1,1,1,2,0,0,0,0,1,1,حركة نداء تونس:  حركة النهضة:  
2,7,9,69,1,463,371,500,4,125,129,371,500,0,0,352,11,8,371,0,False,19,"21,35",0,3,0,0,4,1,18,5,3,3,6,1,6,3,2,0,5,2,0,0,1,0,5,0,0,2,1,1,1,1,0,0,105,163,1,3,0,1,3,1,0,0,0,1,0,حركة النهضة:  حركة نداء تونس:2  الاتحاد الوطني الحر:  
2,7,8,68,6,569,380,600,6,214,220,380,600,0,0,367,11,2,380,0,False,19h,,0,0,0,0,14,1,45,3,3,5,18,0,19,0,0,0,2,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,72,169,2,3,0,0,2,0,0,0,0,1,0,
2,7,8,68,5,571,391,600,2,207,209,391,600,0,0,386,2,3,391,0,False,19.15,22.00,0,0,0,1,12,0,17,4,1,5,17,1,15,0,1,0,9,0,0,0,0,1,10,1,0,1,2,1,0,0,0,0,123,150,5,5,0,0,0,1,0,0,1,1,1,حركة النهضة:1  حركة نداء تونس:1  
2,7,8,68,4,571,415,603,2,186,188,415,603,0,1,405,7,3,415,0,False,1945,2300,0,1,1,1,13,0,18,1,3,3,19,2,11,1,1,1,7,1,0,0,0,2,13,0,0,2,0,0,0,1,1,1,149,146,1,2,0,0,2,0,0,0,0,0,1,حركة نداء تونس:1  حركة النهضة:1  
2,7,8,68,3,571,461,600,2,137,139,461,600,0,0,447,13,1,461,0,False,19.00,23.25,1,0,0,0,16,2,17,2,3,6,11,5,24,1,6,2,6,3,0,3,1,1,5,0,0,4,1,0,1,0,0,1,129,181,3,1,1,0,4,1,2,0,0,0,3,حركة النهضة:1  حركة نداء تونس:1  
2,7,8,68,2,571,446,600,4,150,154,446,600,0,0,387,51,8,446,0,False,1900,2145,0,1,2,1,5,2,17,1,3,1,15,0,5,3,3,0,9,2,4,0,1,1,9,1,1,9,2,0,0,3,0,1,129,137,1,3,1,1,5,3,2,1,0,0,2,الجبهة الشعبية:1  حركة النهضة:1  حركة نداء تونس:1  
2,7,8,68,1,571,473,600,0,127,127,473,600,0,0,449,8,16,473,0,False,18.40,21.00,0,1,1,1,11,2,19,4,2,3,8,1,5,1,4,0,7,1,1,1,1,3,3,2,1,12,3,1,1,2,0,3,125,202,4,4,1,1,1,2,0,1,0,3,0,حركة نداء تونس:1  حركة النهضة:1  
2,7,7,67,5,539,378,600,0,222,222,378,600,0,0,372,0,6,378,378,False,1842,2215,1,0,0,0,23,0,32,4,0,2,15,1,13,1,1,0,4,0,0,0,0,0,10,0,0,0,1,3,2,0,0,0,71,175,4,2,1,1,4,0,0,0,0,0,1,حركة النهضة:1  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  حركة نداء تونس:1  
2,7,7,67,4,542,375,599,0,225,225,374,599,0,1,369,2,3,374,0,False,1915,2230,0,0,0,0,16,0,19,1,0,3,13,0,14,2,1,0,4,2,1,0,0,1,12,1,0,4,1,2,0,0,0,0,109,157,0,1,0,0,3,0,1,0,0,1,0,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
2,7,7,67,3,542,418,600,1,181,182,418,600,0,0,402,6,10,418,0,True,19h,21h15,0,1,0,1,13,1,14,7,0,3,12,0,7,1,1,0,12,0,0,0,1,2,7,1,1,1,1,0,1,2,0,2,127,172,3,3,1,0,2,2,0,0,0,0,0,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
2,7,7,67,2,542,437,599,1,161,162,438,600,1,1,417,9,12,438,0,False,1922,2342,0,1,0,0,7,1,13,4,0,3,6,0,9,4,3,1,12,1,0,2,0,2,1,0,2,5,1,3,0,0,0,2,108,204,4,2,0,6,1,3,2,1,1,1,1,حركة نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
2,7,7,67,1,542,431,600,2,167,169,431,600,0,0,377,49,5,431,0,False,1859,2057,3,3,0,1,6,0,13,1,2,1,5,3,5,3,0,0,10,1,0,2,1,1,3,0,1,3,2,4,0,4,0,0,84,190,9,4,0,2,0,3,0,1,2,2,2,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
2,7,7,66,4,593,415,700,2,283,285,415,700,0,0,406,8,1,415,0,False,19.00,22.00,1,1,0,0,22,0,33,4,1,4,19,0,22,0,0,0,7,0,0,0,0,0,9,1,0,0,1,2,0,0,0,0,76,191,3,3,0,0,2,2,1,0,0,1,0,الجبهة الشعبية:1  حركة النهضة:1  حركة نداء تونس:1  
2,7,7,66,3,595,450,700,2,248,250,450,700,0,0,444,4,2,450,0,False,18.00,,0,0,0,0,16,0,36,1,1,1,28,2,15,0,0,1,6,0,0,0,1,2,10,0,1,1,5,0,0,0,1,0,109,194,2,3,0,1,5,0,0,0,0,1,1,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
2,7,7,66,2,595,483,700,1,217,218,482,700,0,1,459,17,6,482,0,False,1830,2145,0,3,0,0,17,0,16,1,0,3,14,1,18,1,1,0,2,0,0,0,0,4,9,0,1,1,7,1,0,1,0,2,111,230,4,2,1,0,1,1,0,1,2,2,1,تيار صوت الشعب الحر:1  حركة النهضة:1  حركة نداء تونس:1  
2,7,7,66,1,595,473,700,0,227,227,473,700,0,0,449,24,0,473,0,True,19.20,21.55,2,3,1,1,11,2,22,2,0,0,11,1,11,3,2,0,5,2,0,0,2,0,5,1,1,1,3,1,0,2,0,1,72,254,3,5,1,1,6,2,1,0,3,3,2,حركة النهضة:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  
2,7,6,65,6,555,390,597,0,207,207,390,597,0,0,387,2,1,390,0,False,1855,2100,0,0,0,0,23,1,38,7,0,2,14,0,8,1,4,0,7,1,1,0,1,1,10,0,0,0,0,0,1,0,0,0,91,166,2,1,2,1,1,0,0,1,0,0,1,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
2,7,6,65,5,555,377,599,0,222,222,377,599,0,0,371,4,2,377,0,True,1815,2115,0,0,1,0,12,2,21,1,0,3,19,0,10,5,1,0,10,0,0,1,0,1,12,0,0,4,2,2,0,0,0,6,105,139,6,2,2,0,3,0,0,0,0,1,0,حركة النهضة:1  حركة نداء تونس:1  
2,7,6,65,4,555,420,600,4,176,180,420,600,0,0,411,5,4,420,0,False,1835,2045,0,1,0,0,8,0,22,7,1,0,18,0,9,2,0,0,11,0,0,1,1,1,11,4,0,3,4,0,0,1,1,0,153,139,1,3,0,1,6,0,1,0,1,0,0,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
2,7,6,65,3,555,439,600,5,156,161,439,600,0,0,426,7,6,439,0,False,18.30,20.45,0,1,1,0,5,3,20,0,0,1,9,0,5,2,0,2,8,0,1,2,2,2,8,1,0,5,3,1,0,1,0,3,175,149,2,1,0,4,4,1,1,0,1,0,2,حركة نداء تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  
2,7,6,65,2,555,433,600,4,163,167,433,600,0,0,380,42,11,433,0,False,1845,2135,1,1,0,1,13,0,14,3,0,1,7,2,7,2,2,0,11,0,1,0,0,1,3,2,3,6,4,0,0,3,0,2,119,143,8,1,1,4,4,6,2,1,0,1,0,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
2,7,6,65,1,555,456,601,1,149,150,451,601,0,5,414,20,17,451,0,False,18.49,21.44,1,2,0,0,11,0,18,1,2,3,8,2,4,5,3,1,3,0,0,0,0,6,4,0,1,5,2,3,2,0,0,1,116,190,2,3,3,2,1,3,1,0,1,1,3,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
2,7,5,64,9,583,495,700,0,205,205,495,700,0,0,491,1,3,495,0,True,19.00,21.15,0,0,1,0,37,0,27,6,2,3,28,0,48,3,0,0,4,1,1,0,0,1,17,0,0,1,0,0,0,1,0,1,79,219,1,3,0,0,4,1,0,0,0,0,2,حركة نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
2,7,5,64,8,583,462,701,0,239,239,462,701,0,0,460,1,1,462,0,False,1930,2235,0,0,0,0,48,0,8,6,4,4,29,2,26,0,1,0,6,0,0,0,0,0,14,1,1,0,0,0,0,1,0,0,92,211,1,1,0,0,2,1,0,0,0,0,1,حركة النهضة:1  حركة نداء تونس:1  
2,7,5,64,7,583,465,900,0,435,435,465,900,0,0,461,1,3,465,0,False,19.15,22.00,0,0,0,0,28,1,13,5,0,6,34,0,25,0,0,0,10,1,0,1,0,0,15,0,0,0,0,0,0,2,0,1,108,201,2,5,0,0,2,1,0,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  
2,7,5,64,6,583,503,700,2,194,196,504,700,0,1,503,1,0,504,0,False,,2130,0,0,0,1,32,0,12,7,1,6,22,1,13,0,1,0,13,0,0,0,0,0,13,0,0,2,2,0,0,0,1,4,139,224,1,4,0,0,2,2,0,0,0,0,0,حزب التكتل:1  حركة النهضة:1  حركة نداء تونس:1  
