circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الاصلاح والمواطنة ,الانقاذ,التحالف الديمقراطي,التطلع,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحزب الجمهوري,الحزب الديمراطي للعدالة والرخاء,الرفاهة,الشباب الديمقراطي,الشعب يريد,العدالة والتنمية,العزة لتونس,العزم والارادة والعمل,المؤتمر من أجل الجمهورية,المبادرة,تيار المحبة ,تيار صوت الشعب الحر,حركة التونسي,حركة النهضة,حركة وفاء,حزب المجد,صوت شعب تونس,فلاح,حركة نداء تونس,نضال كريم,observers
21,2,11,46,1,549,357,600,7,236,243,357,600,0,0,338,16,3,357,0,True,18h,20h15,4,0,10,2,1,0,14,2,1,1,1,4,2,5,1,3,1,1,0,2,3,3,1,5,96,2,2,2,42,126,1,حركة النهضة:1  نداء تونس:1  فلاح:1  
21,2,11,45,1,377,252,394,1,141,142,252,394,0,0,232,15,5,252,0,False,18:00,,6,0,23,1,2,0,4,0,1,16,1,4,0,1,0,3,1,1,0,2,2,0,1,28,21,1,1,3,3,104,2,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:2  
21,2,11,44,2,320,189,400,0,211,211,189,400,0,0,180,6,3,189,0,False,18:30,,4,0,5,0,1,1,1,2,0,2,1,1,0,0,0,0,0,2,4,1,2,4,1,1,50,0,0,0,4,93,0,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
21,2,11,44,1,321,254,395,0,141,141,254,395,0,0,233,18,3,254,0,False,18:20,20:15,7,0,5,0,2,3,0,0,1,6,1,1,0,3,1,3,2,0,2,1,2,1,2,2,75,1,2,2,5,102,1,حركة النهضة:1  الحزب الجمهوري:1  آفاق تونس:1  فلاح:1  
21,2,10,43,1,569,416,588,1,171,1,416,417,171,0,386,26,4,416,0,False,1820,2040,2,0,7,2,0,1,2,3,0,24,1,3,14,3,0,2,2,3,0,2,1,0,1,0,61,0,0,2,3,242,5,نداء تونس:1  حركة النهضة:1  التيار الديمقراطي:1  الحزب الجمهوري:1  
21,2,10,42,1,579,420,688,28,240,268,420,688,0,0,396,17,7,420,0,False,1815,2117,9,0,1,1,2,0,3,1,0,12,15,3,36,2,1,3,2,1,1,4,3,1,1,3,116,2,1,0,0,171,1,آفاق تونس:1  الاتحاد الوطني الحر:1  نداء تونس:1  
21,2,9,41,1,458,305,500,69,126,195,305,500,0,0,282,15,8,305,0,False,18.18,22.05,3,0,27,1,2,2,0,2,0,2,2,4,0,1,0,2,2,1,0,1,5,5,0,6,69,0,0,2,3,139,1,الاتحاد الوطني الحر:1  حركة النهضة:1  الحزب الجمهوري:1  
21,2,9,40,1,454,348,500,0,152,152,348,500,0,0,330,11,7,348,0,False,1830,1956,1,0,2,3,0,1,0,5,0,1,1,3,2,0,0,3,1,1,3,2,4,2,2,0,155,0,0,1,1,133,3,حركة النهضة:1  نداء تونس:2  
21,2,9,39,2,323,198,400,0,202,202,198,400,0,0,192,4,2,198,0,False,1800,,1,0,3,0,0,0,1,0,0,2,0,4,1,3,0,1,11,1,0,2,2,2,0,0,34,0,0,1,0,122,1,حركة النهضة:1  نداء تونس:1  
21,2,9,39,1,324,261,398,1,136,137,261,398,0,0,246,14,1,261,0,False,1800,,1,1,1,2,1,1,0,1,1,4,1,2,2,0,1,3,13,0,1,0,0,6,1,1,52,2,3,2,2,140,1,الحزب الديمراطي للعدالة والرخاء:1  تيار صوت الشعب الحر:1  الحركة الدستورية:1  نضال كريم:1  
21,2,8,38,1,362,303,392,0,89,89,303,392,0,0,286,14,3,303,0,False,1800,1950,2,1,6,0,1,0,10,0,1,7,23,6,4,3,1,1,0,1,0,1,3,1,1,2,116,0,1,0,1,92,1,حركة النهضة:1  نضال كريم:1  
21,2,7,37,1,236,186,300,2,112,114,186,300,0,0,180,3,3,186,0,False,1815,1926,2,0,5,1,0,3,4,0,1,7,5,3,0,5,1,2,2,1,0,5,3,1,0,0,35,1,0,0,2,91,0,فلاح:1  حركة النهضة:1  نداء تونس:1  
