circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,الائتلاف المستقل لحركة نور تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الانفتاح والوفاء,التحالف الديمقراطي,التقارب,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحراك الاجتماعي,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الاسلامي التونسي,الحزب الاشتراكي,الحزب الجمهوري,الشعب يريد,اللقاء الدستوري,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة الوحدة الشعبية,حركة وفاء,حزب الأمان,حزب العدالة والتنمية,حزب المبادرة,حزب المصالحة بالمنستير,حركة النهضة,دولة حق,زرقاء اليمامة,شمس المحبة,شهداء تونس,صوت شعب تونس,قائمة تصحيح المسار,قائمة حزب المؤتمر من أجل الجمهورية,حركة نداء تونس,observers
22,9,5,120,1,358,249,394,0,145,145,249,394,0,0,246,2,1,249,0,True,1805,2100,2,0,0,0,3,0,0,4,3,3,0,4,0,1,1,8,0,0,0,0,20,0,0,0,0,1,0,72,0,1,0,0,1,1,1,120,حزب حركة النهضة:1  نداء تونس:2  :  
22,9,5,119,4,517,308,600,0,292,292,308,600,0,0,299,5,4,308,0,True,1810,2125,5,0,1,1,0,1,0,14,2,4,0,8,0,0,0,8,0,3,0,0,30,1,0,0,0,6,0,83,0,0,0,0,1,1,5,125,حزب حركة النهضة:1  نداء تونس:1  
22,9,5,119,3,520,332,600,4,265,269,331,600,0,1,326,0,5,331,0,True,1910,2110,2,1,4,6,0,0,0,11,2,3,0,10,0,0,0,8,0,4,1,0,35,0,2,0,0,7,0,111,0,0,0,1,1,0,2,115,الجبهة الشعبية:1  حزب حركة النهضة:1  نداء تونس:1  
22,9,5,119,2,520,368,600,6,226,232,368,600,0,0,362,6,0,368,0,True,1815,2130,3,0,2,4,1,1,1,13,2,4,0,18,0,0,0,5,1,4,0,0,56,1,1,0,1,3,1,107,1,1,0,0,1,0,1,129,الجبهة الشعبية:1  نداء تونس:1  حزب حركة النهضة:1  الحزب الجمهوري:1  :  
22,9,5,119,1,520,357,600,6,239,245,355,600,0,2,323,22,10,355,0,True,1905,2100,3,0,4,3,1,1,1,14,3,2,0,15,1,2,2,8,0,4,2,0,42,1,5,1,2,1,1,65,1,1,0,0,1,3,0,132,حزب حركة النهضة:1  الجبهة الشعبية:1  الاتحاد الوطني الحر:1  نداء تونس:1  الحزب الجمهوري:1  
22,9,4,118,1,422,283,500,0,217,217,283,500,0,0,276,4,3,283,0,True,1800,2045,3,0,8,2,0,0,0,6,5,7,0,3,0,3,1,3,0,0,1,0,18,1,1,0,0,1,0,44,0,0,0,2,1,0,0,166,حزب حركة النهضة:1  نداء تونس:2  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  
22,9,4,117,3,560,346,600,1,249,250,346,596,4,0,338,6,2,346,0,True,1800,2020,6,0,15,0,0,1,0,23,6,12,0,27,0,1,0,4,0,0,1,0,19,0,0,0,0,2,0,72,0,0,0,2,0,0,2,145,الجبهة الشعبية:1  الاتحاد الوطني الحر:1  حزب حركة النهضة:1  نداء تونس:1  الحزب الجمهوري:1  
22,9,4,117,2,559,390,600,1,209,210,390,600,0,0,385,4,1,390,0,True,1800,2010,0,0,16,0,0,1,1,25,2,7,0,29,0,0,0,6,1,0,0,0,21,0,1,0,0,3,1,116,0,2,0,1,0,1,2,149,نداء تونس:1  الاتحاد الوطني الحر:1  حزب حركة النهضة:1  
22,9,4,117,1,559,419,600,2,180,182,418,600,0,1,390,17,11,418,0,True,18.00,20.30,1,0,8,0,0,0,0,24,7,9,0,53,2,0,1,10,0,0,2,0,25,1,0,0,1,3,2,90,1,2,0,1,2,1,1,143,حزب حركة النهضة:1  الجبهة الشعبية:1  الاتحاد الوطني الحر:1  نداء تونس:1  الحزب الجمهوري:1  
22,9,4,116,4,548,304,600,9,286,295,305,600,0,1,302,1,2,305,0,True,1800,2042,4,0,3,0,0,2,0,6,2,1,0,7,0,0,0,2,0,0,0,0,22,0,0,1,0,4,0,65,0,0,0,0,0,0,3,180,حزب حركة النهضة:2  نداء تونس:2  زرقاء اليمامة:1  الحزب الجمهوري:1  
22,9,4,116,3,550,333,600,0,267,267,333,600,0,0,332,0,1,333,0,True,1850,2010,3,0,2,2,2,0,0,8,5,3,0,10,4,0,0,4,0,0,0,0,26,0,1,1,0,1,0,103,0,0,0,0,0,0,1,156,حزب حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
22,9,4,116,2,550,396,600,1,199,200,396,596,4,0,386,10,5,396,0,True,19.00,21.00,0,0,0,0,0,0,0,10,1,2,0,16,0,1,0,4,0,0,0,0,44,2,2,0,0,2,1,112,1,0,2,1,1,1,4,174,حزب حركة النهضة:1  نداء تونس:2  الحزب الجمهوري:1  
22,9,4,116,1,550,381,604,3,220,3,381,384,220,223,361,14,6,381,0,False,18.55,0,2,1,2,2,1,1,0,21,5,2,0,5,0,0,1,5,1,2,2,0,29,0,3,0,1,2,3,76,0,3,0,0,0,2,2,187,الجبهة الشعبية:1  حزب حركة النهضة:1  الحزب الجمهوري:1  نداء تونس:1  
22,9,3,115,1,447,285,496,1,210,211,285,296,0,0,264,7,14,285,0,True,1800,2120,0,0,4,1,0,0,1,1,3,2,0,3,1,2,0,1,0,0,5,2,1,0,4,0,0,3,3,26,0,0,1,2,1,2,1,194,حزب حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
22,9,3,114,2,577,257,700,0,443,443,257,700,0,0,243,3,11,257,0,True,1820,2150,6,0,5,7,0,1,0,2,1,5,0,9,1,1,0,3,0,0,4,0,5,0,1,0,0,6,2,26,6,0,0,3,0,0,2,147,حزب حركة النهضة:1  نداء تونس:2  
22,9,3,114,1,577,407,700,1,292,293,407,700,0,1,383,11,13,407,0,False,1815,2030,3,3,2,5,1,3,2,5,3,1,1,25,5,1,2,3,2,0,8,2,5,1,4,2,4,5,0,58,1,3,0,3,0,7,6,207,حزب حركة النهضة:1  
22,9,3,113,1,365,208,400,2,190,192,208,400,0,0,201,4,3,208,0,True,1830,1938,1,0,4,0,1,0,0,7,1,2,0,17,1,1,0,3,0,0,1,1,5,0,1,0,1,8,0,14,0,1,2,1,1,1,2,124,نداء تونس:2  حزب حركة النهضة:1  
22,9,2,112,1,349,263,400,1,136,137,263,400,0,0,248,7,8,263,0,True,1920,2150,3,1,1,0,0,0,1,0,0,2,0,3,0,0,1,2,1,0,0,0,1,0,7,0,1,33,2,78,0,1,0,0,1,0,1,138,حزب حركة النهضة:1  نداء تونس:2  
22,9,2,111,2,313,185,400,1,214,215,185,400,0,0,177,1,7,185,0,True,1825,2050,5,0,1,1,0,0,0,0,2,2,0,5,1,1,0,3,0,0,3,0,1,3,3,0,1,2,0,25,0,0,0,0,1,1,4,112,حزب حركة النهضة:1  نداء تونس:1  
22,9,2,111,1,314,243,400,1,157,158,242,400,0,1,222,1,11,242,0,True,1820,2026,5,0,5,0,1,0,0,5,1,2,0,20,1,0,0,4,0,0,7,0,2,0,3,0,1,2,2,36,2,1,0,0,1,1,1,119,حزب حركة النهضة:1  نداء تونس:1  
22,9,2,110,1,379,218,500,1,281,282,218,500,0,0,208,8,2,218,0,True,18,20:20,1,1,3,0,1,0,0,1,2,4,1,10,0,0,0,1,0,1,6,1,1,3,1,0,0,3,1,32,0,0,2,3,1,3,0,125,حزب حركة النهضة:1  نداء تونس:2  
22,9,2,109,1,560,329,600,0,271,271,329,600,0,0,305,12,12,329,0,True,18:15,20:30,1,1,3,0,1,1,1,1,3,0,0,0,0,0,2,2,0,0,20,0,6,0,3,0,1,5,6,74,3,2,1,3,2,5,7,151,حزب حركة النهضة:1  نداء تونس:2  
22,9,1,108,1,125,60,200,0,140,140,60,200,0,0,54,4,2,60,0,False,18:20,19:05,0,1,2,0,1,1,0,0,0,2,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,16,0,1,0,0,0,1,1,20,حزب حركة النهضة:1  نداء تونس:1  
22,9,1,107,2,483,263,692,1,428,429,263,692,0,0,260,1,2,263,0,False,18:00,20:40,6,0,3,1,0,2,0,1,1,1,0,0,0,1,0,5,0,0,3,0,13,0,2,1,0,6,0,71,0,0,1,0,1,0,6,135,نداء تونس:1  حزب حركة النهضة:1  
22,9,1,107,1,484,351,600,2,247,249,351,600,0,0,332,11,8,351,0,False,18:54,20:22,6,1,7,0,2,2,0,0,0,0,1,2,1,2,0,7,0,1,7,1,16,0,4,0,1,3,2,63,1,1,0,0,1,4,3,193,حزب حركة النهضة:1  نداء تونس:1  
22,11,5,134,4,499,358,600,17,225,242,358,600,0,0,358,1,2,358,0,True,1825,2000,26,0,19,0,0,0,0,2,5,5,0,0,1,0,0,5,1,0,4,0,1,0,2,0,2,2,0,100,1,0,0,1,0,0,3,175,نداء تونس:2  حزب حركة النهضة:2  الاتحاد الوطني الحر:  
22,11,5,134,3,500,384,600,6,210,216,384,600,0,0,378,6,0,384,0,True,"18,50",21,43,0,9,1,0,0,0,0,1,2,0,1,0,1,0,2,0,1,1,0,0,1,2,0,1,4,0,99,0,0,1,1,0,3,6,198,الاتحاد الوطني الحر:  حزب حركة النهضة:  آفاق تونس:  نداء تونس:  
