circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أجيال التحدي,أهداف الثورة أولا,االتكتل من اجل العمل والحريات,اتحاد القوى الشبابية,الأصالة,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغاربي,الطليعة الشبابية,العريضة الشعبية,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المستقبل من أجل تونس,الوحدويين الاحرار,الوفاء لمشروع الشهيد,اليسر,تونس العزيزة,تونسنا الغالية,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب العمل التونسي,حزب المبادرة,حزب المجد,حزب الوسط الاجتماعي,صفاقسنا,صوت الريف,صوت صفاقس,قوى 14 جانفي,observers
24,6,9,115,2,569,501,600,0,99,99,501,600,0,0,491,7,3,501,0,False,1830,2120,24,0,0,6,0,0,0,3,3,10,0,12,1,1,0,0,11,1,4,1,0,6,0,0,0,0,4,0,0,4,0,2,106,255,4,1,5,7,1,2,0,1,14,2,حركة النهضة:1  
24,6,9,115,1,569,518,600,1,81,82,518,600,0,0,512,3,3,518,0,False,18:00,21:43,33,1,0,9,1,0,2,3,3,12,1,5,0,2,0,0,7,1,1,1,1,2,0,0,0,1,3,1,0,3,1,3,105,288,2,0,1,5,0,0,0,3,11,0,حركة نداء تونس:  حركة النهضة:  االتكتل من اجل العمل والحريات:  حزب المبادرة:  
24,6,8,114,4,501,315,592,2,277,277,313,590,2,2,311,0,2,315,2,False,18.40,21.35,13,0,0,3,0,0,6,0,3,16,0,13,0,0,1,0,6,0,1,2,1,9,0,0,0,0,1,0,3,0,0,0,87,128,4,1,1,5,2,0,1,0,4,0,حركة نداء تونس:1  حركة النهضة:1  حزب المبادرة:1  
24,6,8,114,3,504,358,600,52,190,242,358,600,0,0,353,2,3,358,0,False,1910,2027,9,1,0,3,0,0,7,1,8,15,1,20,0,0,0,0,8,0,0,1,0,14,0,0,0,0,0,1,6,4,0,1,117,115,1,0,3,4,1,2,1,0,9,0,حركة النهضة:2  الجبهة الشعبية:1  حزب المبادرة:1  حركة نداء تونس:1  
24,6,8,114,2,504,405,600,0,195,195,405,600,0,0,395,2,8,405,0,True,1910,2128,9,0,0,5,0,0,4,2,8,11,1,15,0,5,1,1,4,0,1,3,0,10,0,2,1,0,0,0,4,0,0,5,126,158,0,0,3,5,2,0,1,1,7,0,حركة نداء تونس:1  حركة النهضة:1  حزب المبادرة:2  
24,6,8,114,1,504,392,600,1,207,208,392,600,0,0,363,22,7,392,0,False,1830,2200,8,3,1,3,1,1,8,2,5,11,1,12,2,3,3,0,5,1,1,2,2,0,0,3,1,2,2,1,3,3,3,8,86,159,0,1,3,1,1,2,1,2,5,1,حزب المبادرة:1  حركة النهضة:1  حركة نداء تونس:1  التحالف الديمقراطي:1  
24,6,7,113,7,565,426,600,30,144,174,426,600,0,0,421,1,4,426,0,False,19:10,20:45,34,1,0,2,0,1,9,3,4,27,0,10,0,0,0,1,6,0,0,0,0,14,1,0,0,0,6,0,0,0,1,1,102,175,0,0,1,2,1,0,0,0,19,0,حركة نداء تونس:1  حركة النهضة:1  التحالف الديمقراطي:1  تونس العزيزة:1  
24,6,7,113,6,567,436,600,0,164,164,436,600,0,0,431,4,1,436,0,False,1845,2200,26,1,0,3,0,0,8,2,7,25,1,6,0,0,0,0,8,0,0,0,2,12,2,0,0,0,1,0,1,2,0,0,132,171,6,0,1,2,0,0,0,0,12,0,حركة النهضة:1  الحزب الجمهوري:1  االتكتل من اجل العمل والحريات:1  
24,6,7,113,4,567,488,600,12,100,112,488,600,0,0,480,5,3,488,0,False,1845,2045,17,0,2,4,1,3,7,1,6,17,0,8,1,0,1,1,8,1,1,0,0,11,0,1,0,0,5,0,5,0,0,4,185,165,4,0,2,4,0,0,4,0,11,0,صوت صفاقس:1  حركة النهضة:1  
24,6,7,113,3,567,500,600,4,96,100,500,600,0,0,490,5,5,500,0,False,1914,2345,11,0,1,5,0,0,4,2,10,14,0,10,0,0,0,0,8,0,0,0,0,8,0,0,0,0,2,0,1,2,0,0,199,195,4,2,1,2,0,0,0,0,7,1,حزب المبادرة:1  حركة النهضة:1  حركة نداء تونس:1  
