circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, اتحاد الشباب الديمقراطي التونسي,ائتلاف جبهة قابس,اتحاد القوى الشبابية,اتحاد شباب تونس,اصحاب الحق,آفاق تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارض الطيبة,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحزب الجمهوري,الشعب يريد,الضمير,العدل,العمل والتنمية العادلة,القطب البيئي بقابس,المؤتمر من اجل الجمهورية,المبادرة الوطنية الدستورية,المجد للوطن,المستقلون الاحرار,النتمية اولا,النخلة,تونس العزيزة,تيار المحبة,تيار النزاهة,حركة البناء المغاربي,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة اللقاء الدستوري,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الامان,حزب البناء الوطني,حزب الغد,حزب الوحدة,صوت شعب تونس,قابس اولا,قابس في القلب,كلنا قابس,observers
25,2,7,36,1,519,386,600,2,212,214,386,600,0,0,371,14,1,386,0,False,19.00,21.05,1,0,1,0,1,0,12,2,0,2,2,0,0,43,0,1,2,0,3,1,15,3,3,3,2,0,1,1,0,0,1,0,0,0,2,231,28,1,0,1,0,0,0,1,3,4,حركة النهضة:1  حركة نداء تونس:1  
25,2,7,35,1,556,406,600,0,194,194,406,600,0,0,387,11,8,406,0,False,18.30,22.05,0,0,0,1,1,0,9,1,1,0,2,1,0,7,3,1,1,0,8,3,11,3,3,1,2,0,0,10,0,0,0,0,4,4,1,267,22,2,4,1,3,0,0,0,6,4,حركة النهضة:2  حركة نداء تونس:2  
25,2,6,34,1,171,109,200,0,91,91,109,200,0,0,92,14,3,109,0,False,1800,1950,2,0,0,0,0,1,9,0,0,0,0,0,0,18,1,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,1,0,40,7,0,0,0,0,1,2,1,2,0,حركة النهضة:2  الاتحاد الوطني الحر:1  حركة نداء تونس:2  
25,2,6,33,1,520,293,600,0,307,307,293,600,0,0,272,14,7,293,0,False,1800,2000,2,0,0,0,1,1,15,4,0,2,0,0,0,23,0,2,0,3,0,1,10,1,1,0,0,3,1,6,0,1,0,0,2,1,2,153,21,1,0,1,0,0,0,3,11,0,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
25,2,5,32,1,502,419,617,0,198,198,419,617,0,0,392,22,5,420,0,False,18h30,22h05,0,1,0,1,0,1,18,0,0,3,0,0,52,1,30,1,2,2,1,9,10,1,9,1,0,7,0,1,0,1,1,2,0,0,2,125,95,4,0,0,1,1,3,1,3,2,الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  الحزب الجمهوري:1  
25,2,5,31,2,415,256,500,0,244,244,256,500,0,0,247,2,7,256,0,False,18.33,20.09,0,0,0,0,0,3,20,0,0,0,2,3,6,1,4,0,0,2,0,0,11,1,2,0,1,3,0,1,0,1,0,2,0,0,0,111,54,6,0,0,1,1,0,0,4,7,:  
25,2,5,31,1,416,322,500,1,177,178,322,500,0,0,296,11,15,322,0,False,18.25,20.35,1,0,1,1,1,2,10,1,0,7,2,0,5,2,6,1,4,0,0,2,12,2,0,1,1,0,0,1,1,0,1,0,3,2,0,111,74,8,1,0,1,2,0,2,21,5,الحزب الجمهوري:1  حركة النهضة:1  حركة نداء تونس:1  
25,2,4,30,4,573,396,700,0,304,304,396,700,0,0,393,3,0,396,0,False,18h30,21h10,1,0,0,1,0,2,91,0,0,19,2,10,9,2,7,0,1,0,3,0,18,2,0,0,1,4,0,1,0,0,0,0,0,0,1,82,126,3,5,0,2,0,0,0,0,0,الحزب الجمهوري:1  حركة نداء تونس:1  حركة النهضة:1  
25,2,4,30,3,576,421,700,4,275,279,421,700,0,0,415,0,6,421,0,False,19h15,22h05,0,1,0,0,0,1,77,1,0,25,1,7,6,2,10,1,0,2,2,0,14,2,3,1,0,4,0,1,0,0,1,2,0,5,0,95,141,2,0,0,1,1,1,2,2,1,الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  
25,2,4,30,2,576,486,700,0,214,214,486,700,0,0,475,6,5,486,0,False,18h50,21h28,1,0,0,1,0,3,70,0,1,29,2,8,9,3,9,0,1,1,2,2,12,1,3,1,1,1,0,5,0,1,2,1,1,6,0,126,164,1,3,0,1,0,0,3,0,0,الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  
