circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإنصاف , التحالف الديمقراطي,الجبهة الشعبية, الجبهة الوطنية التونسية, الحركة الدستورية, الحرية , الحزب الجمهوري , الشعب يريد , العدالة والتنمية, تونس العزيزة , تيار المحبة , حركة التونسي, حركة الديمقراطيين الإشتراكيين ,حركة النهضة, حركة الوحدويين الأحرار ,حركة نداء تونس, حركة وفاء, حزب الأمان , حزب التكتل , حزب المبادرة, حزب المجد , عدالة وسلام,أوفياء,الاتحاد الوطني الحر,التيار الديمقراطي ,الثبات,المؤتمر من أجل الجمهورية,حركة الشعب,حزب البناء الوطني,حزب العمل التونسي ,صوت شعب تونس,observers
27,3,15,42,1,132,96,200,0,104,104,96,200,0,0,91,2,3,96,0,True,1850,2020,0,2,0,0,32,1,2,1,0,0,0,0,0,29,0,7,0,1,2,0,1,0,0,6,0,0,3,0,0,4,0, حركة النهضة :2   حركة نداء تونس :2  الإتحاد الوطني الحر:2   الحركة الدستورية:1  
27,3,15,41,1,380,255,500,0,245,245,255,500,0,0,234,3,18,255,0,True,1853,2043,0,1,0,1,3,0,26,0,0,2,2,1,1,158,2,5,3,0,1,0,0,0,0,8,1,0,13,0,2,1,3,الإتحاد الوطني الحر:1   حركة النهضة :1   الحزب الجمهوري :1   حركة نداء تونس :1  صوت شعب تونس:1  
27,3,14,40,2,301,144,395,0,251,251,144,395,0,0,134,4,6,144,0,True,1815,1945,0,2,0,0,0,1,3,0,0,2,1,0,0,90,1,3,0,1,0,2,0,4,0,6,4,7,7,0,0,0,0, حركة النهضة :2   حركة نداء تونس :2  
27,3,14,40,1,302,228,396,0,168,168,228,326,0,0,193,29,6,228,0,True,18:32,20:40,1,2,2,0,0,4,3,1,0,4,2,3,2,115,2,11,1,0,1,4,0,7,3,4,1,14,3,0,1,0,2, حركة نداء تونس :   حركة النهضة :2  
27,3,13,39,1,254,138,300,0,162,162,138,300,0,0,129,7,2,138,0,False,18:00,19:30,3,1,4,0,1,0,3,1,0,1,1,0,2,50,0,3,0,1,1,3,2,2,2,9,2,26,0,7,1,1,2, حركة النهضة :  
27,3,12,38,3,501,294,660,2,364,366,294,660,0,0,291,1,2,294,0,True,18:50,21:15,5,0,1,1,0,8,3,2,5,4,1,3,0,227,0,14,3,0,0,0,0,1,3,4,0,0,6,0,0,0,0, حركة النهضة :   حزب المبادرة:  الإتحاد الوطني الحر:   تونس العزيزة :   الحركة الدستورية:   حركة نداء تونس :  
27,3,12,38,2,501,391,600,1,208,209,391,600,0,0,382,5,4,391,0,True,18:20,21:00,11,6,0,1,0,9,1,0,9,3,1,3,0,306,0,9,0,0,1,0,0,3,0,3,0,1,14,0,0,0,1,المؤتمر من أجل الجمهورية:   العدالة والتنمية:   تونس العزيزة :   الحركة الدستورية:  الإتحاد الوطني الحر:   حركة نداء تونس :   حركة النهضة :  
27,3,12,38,1,501,415,600,0,185,185,415,600,0,0,383,24,8,415,0,True,20:23,22:45,4,5,2,2,1,17,4,3,10,3,1,2,0,289,0,8,0,1,2,1,0,5,1,5,2,0,12,0,1,1,1, حركة النهضة :   حركة نداء تونس :  
27,3,12,37,2,535,327,600,0,273,273,327,600,0,0,321,2,4,327,0,False,18H42,20H45,2,1,0,0,13,1,5,1,2,35,0,4,0,185,7,23,2,0,1,0,0,3,0,18,1,2,10,5,0,0,0,الإتحاد الوطني الحر:1   حركة النهضة :1   حركة نداء تونس :1   تونس العزيزة :1  المؤتمر من أجل الجمهورية:1   الحركة الدستورية:1  
27,3,12,37,1,536,421,600,0,180,180,420,600,0,1,402,10,8,420,0,False,"18,57","20,48",3,1,0,1,13,1,12,0,0,46,1,11,0,248,9,21,2,0,0,3,2,2,1,10,3,0,9,3,0,0,0, حركة النهضة :  
27,3,12,36,2,524,280,600,0,320,320,280,600,0,0,275,3,2,280,0,False,1840,2140,1,5,1,0,0,6,5,1,2,15,0,5,1,183,2,19,3,1,2,3,0,0,0,10,1,0,8,1,0,0,0, تونس العزيزة :1   حركة نداء تونس :1  الإتحاد الوطني الحر:1   حركة النهضة :1  
27,3,12,36,1,525,402,600,3,198,201,399,600,0,3,384,9,6,399,0,True,18h20,21h30,2,4,0,0,0,3,8,3,8,11,0,16,0,289,5,9,0,0,3,3,3,1,0,9,1,1,3,2,0,0,0, حركة النهضة :1   حزب المبادرة:1   الجبهة الشعبية :1   حركة نداء تونس :1   العدالة والتنمية:1  
27,3,11,35,1,187,112,300,1,187,188,112,300,0,0,105,6,1,112,0,False,1830,1946,0,0,1,0,1,2,0,1,0,0,0,0,0,85,0,1,0,1,0,1,1,0,0,9,0,0,1,0,0,1,0, حركة النهضة :2  الإتحاد الوطني الحر:3  
27,3,11,34,3,505,337,600,0,373,373,227,600,0,0,223,1,3,227,0,True,18:10,19:50,0,1,1,0,1,1,4,1,0,3,0,0,0,160,0,10,1,2,0,0,0,3,0,26,0,1,3,2,1,2,0,الإتحاد الوطني الحر:2   حركة نداء تونس :1   حركة النهضة :1  
27,3,11,34,2,506,303,602,1,298,299,303,602,0,0,292,5,6,303,0,True,18:00,20:20,0,0,0,0,2,1,12,2,0,4,0,1,2,214,0,7,1,1,1,6,0,11,0,11,8,0,4,3,0,0,1, حركة النهضة :1   حركة نداء تونس :1   الحركة الدستورية:1  الإتحاد الوطني الحر:2  
27,3,11,34,1,506,349,600,2,249,251,349,600,0,0,329,16,4,349,0,False,18:03,22:42,1,0,1,0,1,3,1,2,0,12,1,2,0,243,0,17,2,4,2,3,1,6,4,11,1,4,2,2,2,0,1, حركة النهضة :1   حركة نداء تونس :1   حزب المبادرة:1  الإتحاد الوطني الحر:3  
27,3,10,33,1,311,186,400,3,213,216,184,400,0,2,166,13,5,184,0,True,18:15,20:10,8,2,0,0,1,0,1,1,1,0,0,0,1,40,0,12,1,1,1,5,1,2,4,1,0,76,5,0,0,1,1, حركة النهضة :2  
27,3,9,32,1,176,94,200,2,104,106,94,200,0,0,81,6,7,94,0,False,18:10,19:30,0,0,1,0,1,0,0,0,0,1,0,0,0,65,0,6,0,1,0,1,1,0,0,1,0,2,1,0,0,0,0,:  
27,3,8,31,1,146,76,200,0,124,124,76,200,0,0,65,11,0,76,0,False,18:20,19:15,1,1,0,0,0,1,2,1,1,0,0,0,2,39,0,4,0,7,1,1,0,1,1,1,0,0,1,0,0,0,0, حركة النهضة :1   حركة نداء تونس :1   الحركة الدستورية:1  
27,3,7,30,3,498,249,572,1,323,324,248,572,0,1,244,1,3,248,0,False,18:40,20:50,0,3,0,0,1,0,3,0,0,0,3,0,0,179,0,16,1,3,4,3,1,2,1,6,1,3,9,5,0,0,0, الحركة الدستورية:1   حركة النهضة :2   حركة نداء تونس :1  
27,3,7,30,2,499,330,592,2,260,262,330,592,0,0,315,5,10,330,0,False,18:50,20:40,1,3,0,0,1,2,7,2,1,0,2,1,0,248,1,11,3,2,2,1,0,2,0,6,1,2,14,1,1,0,0, حركة نداء تونس :1   حركة النهضة :2   الحركة الدستورية:1   الحزب الجمهوري :1  الإتحاد الوطني الحر:1  
27,3,7,30,1,499,370,600,0,230,230,370,230,370,0,344,21,5,370,0,False,18:15,20:30,4,1,0,4,7,3,5,0,1,1,3,1,0,272,1,13,3,1,2,3,0,1,0,5,3,3,6,1,0,0,0, حركة النهضة :2  التيار الديمقراطي :1   حركة نداء تونس :1   الحركة الدستورية:1  
27,3,6,29,1,280,174,300,1,125,126,174,300,0,0,164,3,7,174,0,True,18:25,20:20,0,0,0,0,0,0,1,0,1,0,1,0,0,151,0,2,0,1,0,1,0,0,0,2,1,0,3,0,0,0,0,الإتحاد الوطني الحر:2   حركة نداء تونس :3   حركة النهضة :2  
27,3,6,28,2,536,290,600,0,310,310,290,600,0,0,284,6,0,290,0,False,19h,20h45,2,2,0,2,4,0,7,1,0,3,3,0,0,202,1,9,3,5,1,0,2,1,1,21,5,2,7,0,0,0,0,الإتحاد الوطني الحر:2   الحركة الدستورية:1   حركة نداء تونس :1   الحزب الجمهوري :1   حركة النهضة :1  
27,3,6,28,1,537,405,600,4,191,195,405,600,0,0,384,13,8,405,0,False,1900,,3,5,3,4,9,3,8,0,2,4,2,0,1,265,1,18,0,6,2,3,0,5,4,18,2,1,9,3,2,0,1, حركة نداء تونس :1  الإتحاد الوطني الحر:1   الحزب الجمهوري :1   الحركة الدستورية:1   حزب التكتل :1   حركة النهضة :1  
