circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التوازن,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح واالبناء,الحزب الجمهوري ,الحزب الجمهوري المغاربي,الحزب الليبرالي التونسي,الريادة بالعلم والعمل,الشباب الحر,الشعب يريد,القائمة المستقلة بأريانة القدوة,الكادحون,المبادرة,النداء الجمهوري,باب الامل,بيئتنا,تونس العزيزة,تونس في العين,تيار المحبة,حركة التونسي,حركة الديمقراطيين الإشتراكيين,حركة الربيع العربي,حركة الشعب,حركة النهضة,حركة الوحدة الشعبية,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الاصلاح والتنمية,حزب الانفتاح والوفاء,حزب الانقاذ,حزب البناء الوطني,حزب الصحوة,حزب العمل التونسي,حزب الغد,حزب المؤتمر الشعبي,حزب المؤتمر من اجل الجمهورية,حزب المجد,حزب الوسط الاجتماعي,حزب تونس للجميع,صوت الفنانين,صوت المربي,صوت شعب تونس,نحو بر الأمان,نداء قرطاج,ورد اريانة,observers
4,6,5,84,1,313,215,400,1,184,185,215,400,0,0,207,4,4,215,0,True,1903,,0,0,0,20,0,1,1,0,5,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,3,68,0,87,2,2,0,0,0,0,0,4,1,0,1,0,0,1,1,0,0,0,1,0,حركة النهضة:2  الحزب الجمهوري :1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
4,6,4,83,1,360,280,400,0,120,120,280,400,0,0,267,11,2,280,0,False,1825,2025,6,0,0,17,2,2,4,1,4,7,1,3,0,4,0,2,0,2,0,0,2,2,1,0,0,0,0,2,0,0,1,3,85,1,95,8,0,2,1,0,0,1,0,0,0,4,1,0,1,1,0,0,0,1,0,حركة نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:2  
4,6,4,82,2,554,375,600,0,225,225,375,600,0,0,367,4,4,375,0,False,19:45,22:45,6,1,0,32,1,1,0,0,4,3,0,0,0,40,0,0,1,0,2,2,0,1,1,0,0,1,0,2,1,1,1,2,126,1,84,1,1,1,0,1,0,0,1,0,0,5,1,0,1,0,0,0,1,40,0,الحزب الجمهوري :1  حركة النهضة:1  حركة نداء تونس:1  
4,6,4,82,1,554,437,608,0,171,171,437,608,0,0,396,14,27,437,0,True,1930,2230,3,1,2,24,0,0,2,3,1,4,1,0,0,21,0,0,0,0,0,1,1,6,4,0,1,0,1,6,0,1,1,5,149,2,104,9,4,3,1,0,0,0,3,0,1,4,2,0,7,1,0,0,3,13,2,حركة نداء تونس:1  الاتحاد الوطني الحر:1  الحزب الجمهوري :1  حركة النهضة:1  
4,6,4,81,2,365,259,400,0,141,141,259,400,0,0,257,1,1,259,0,False,1837,2018,4,0,0,13,2,1,0,0,3,5,0,2,1,5,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,2,106,0,95,2,3,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,1,0,الاتحاد الوطني الحر:1  حركة النهضة:2  
4,6,4,81,1,366,269,414,0,145,145,269,414,0,0,260,5,4,269,0,False,1820,2030,4,1,0,10,1,2,1,0,5,4,0,2,2,5,0,0,1,0,1,0,1,2,2,0,1,0,0,1,0,0,0,1,93,1,104,0,2,0,1,0,1,0,1,0,0,3,1,0,4,0,0,0,1,1,0,حركة نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
4,6,3,80,2,511,356,622,0,266,266,356,622,0,0,348,5,3,356,0,False,1830,2030,6,0,1,48,0,2,0,0,15,2,0,1,2,5,1,1,0,0,1,8,0,1,2,0,0,0,0,0,0,0,1,1,126,0,109,1,1,1,1,1,1,0,1,0,0,3,0,0,4,0,1,0,0,0,0,حركة نداء تونس:1  الاتحاد الوطني الحر:1  اتحاد شباب ديمقراطي تونسي:1  
4,6,3,80,1,511,415,600,2,183,185,415,600,0,0,382,13,20,415,0,False,,2120,4,0,1,34,3,2,0,0,11,0,1,1,1,2,0,1,2,1,0,7,1,0,1,0,3,1,0,3,2,0,0,2,123,1,154,0,0,0,2,2,0,0,1,2,0,1,0,0,3,1,0,0,4,2,2,حركة نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  التحالف الديمقراطي:1  نحو بر الأمان:1  
4,6,3,79,2,481,354,600,3,243,246,354,600,0,0,347,3,4,354,0,False,1855,2051,6,0,0,53,0,2,0,0,6,1,1,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,2,0,0,1,0,160,0,96,2,2,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  تيار المحبة:1  
4,6,3,79,1,482,370,600,1,229,230,370,600,0,0,349,11,10,370,0,False,1815,2150,2,0,1,25,1,1,2,0,8,2,1,1,1,0,0,0,2,0,0,1,1,3,1,0,4,0,0,4,4,0,0,2,130,1,129,1,2,3,1,0,2,1,1,2,0,2,0,0,5,1,0,0,0,1,0,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  حزب الأمان:1  
