circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, حركة الشعب,آفاق تونس,أمل وعمل,اتحاد الشباب الديمقراطي,اتحاد القوى الشبابية,الأحرار,الأمان,الأمانة والعدالة,الأمل,الائتلاف الديمقراطي للعمل والتنمية,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الاصلاح والتنمية,البناء الوطني,التآلف,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحرية من أجل العدالة والتنمية,الحزب التونسي,الحزب الجمهوري,الزيتونة,السلام والازدهار,الشباب الحر,الشعب يريد ,الصمود,العمل التونسي,القائمة البورقيبية,القائمة المستقلة العين الساهرة,القائمة المستقلة لخدمة منوبة,القلم,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المبادرة,المدافعون عن الحق,المستقبل,المعطلين عن العمل,النجاح,الوفاق ,تونس العزيزة,تونس الغد,تيار المحبة,حركة البناء المغاربي,حركة الديمقراطيين الاشتراكيين,حركة النهضة,حركة وفاء,حزب المجد,حزب المحافظين التونسيين,صوت شعب تونس,قائمة النور للديمقراطية والتنمية,قائمة حزب العدل والتنمية,متحدون من أجل تونس,حركة نداء تونس,نداء قرطاج,وطني,observers
5,6,7,67,2,563,316,600,0,284,284,316,600,0,0,302,7,7,316,0,True,19:15,,2,4,0,1,0,0,1,0,0,2,31,1,1,0,0,0,2,3,9,2,0,0,2,0,0,1,0,1,1,0,16,4,0,3,0,1,2,6,0,1,0,2,1,0,1,0,0,0,78,3,0,0,0,1,0,0,118,0,1,نداء تونس:2  حركة النهضة:2  
5,6,7,67,1,563,397,600,0,203,203,397,600,0,0,347,45,5,397,0,True,19:20,22:52,3,6,0,2,0,2,0,1,4,6,21,0,0,1,3,1,2,0,9,4,0,1,3,3,2,1,1,0,0,0,13,6,3,2,1,0,0,5,1,3,0,2,1,0,3,2,3,3,71,3,1,0,3,0,3,0,140,1,1,القائمة البورقيبية:1  حركة النهضة:1  نداء تونس:1  العمل التونسي:1  
5,6,6,66,4,468,275,500,0,225,225,275,500,0,0,262,10,3,275,0,True,19,22:14,12,5,0,0,0,2,2,0,1,0,60,1,0,0,0,0,5,5,5,1,0,2,0,0,3,0,0,0,0,5,4,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,61,0,0,0,0,0,0,0,82,1,1,حركة النهضة:1  نداء تونس:1  
5,6,6,66,3,469,308,500,0,192,192,308,500,0,0,294,3,11,308,0,True,18:35,20:30,20,6,2,0,0,1,0,1,0,1,37,0,0,1,1,0,1,3,3,1,0,0,1,1,5,0,1,0,0,5,4,3,0,1,0,0,0,4,0,1,0,0,0,1,0,2,1,1,97,3,1,1,1,0,0,0,82,0,0,العمل التونسي:1  حركة النهضة:1  نداء تونس:1  
5,6,6,66,2,469,358,500,4,139,143,357,500,0,1,335,17,5,357,0,True,1904,2130,26,4,1,5,1,2,2,2,0,8,41,1,0,1,1,0,4,2,2,1,1,1,5,1,2,1,0,0,2,5,12,0,0,3,0,0,1,1,1,3,1,0,1,1,2,1,0,0,102,2,4,1,1,0,0,0,76,0,0,حركة وفاء:1  نداء تونس:1  حركة النهضة:1   حركة الشعب:1  تيار المحبة:1  
5,6,6,66,1,469,360,500,0,140,140,360,500,0,0,310,28,21,359,1,False,19:04,22:00,19,1,4,6,0,2,4,2,4,1,21,3,1,2,2,0,4,2,1,3,0,4,2,0,6,1,1,1,6,2,7,7,2,4,1,1,0,3,2,1,0,2,2,0,5,2,1,3,73,0,3,0,0,1,2,2,75,5,1,المبادرة:  حركة وفاء:   حركة الشعب:  العمل التونسي:  نداء تونس:  حركة النهضة:  
5,6,6,65,2,552,362,600,0,238,238,362,600,0,0,353,2,7,362,0,False,19:10,21:36,32,7,1,0,0,0,0,1,1,0,30,0,0,0,0,0,2,4,7,0,0,2,0,0,1,0,0,1,0,0,2,3,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,117,3,1,0,1,0,0,1,126,2,0,حركة النهضة:  المبادرة:  نداء تونس:  تيار المحبة:  الاتحاد الوطني الحر:   حركة الشعب:  
5,6,6,65,1,552,455,600,5,140,145,455,600,0,0,431,22,2,455,0,True,18:57,21:45,17,8,1,2,1,0,0,1,2,5,34,0,2,2,1,2,4,5,13,0,0,4,1,0,1,1,0,2,0,1,4,5,1,2,1,1,6,3,1,1,0,1,3,0,2,8,2,1,141,1,1,0,1,0,1,1,133,0,0,الاتحاد الوطني الحر:  حركة النهضة:  حركة وفاء:  العمل التونسي:   حركة الشعب:  نداء تونس:  القائمة البورقيبية:  
5,6,6,64,2,373,211,400,0,189,189,211,400,0,0,201,6,4,211,0,False,18:40,20:25,4,2,0,0,0,2,2,1,0,0,29,1,1,1,0,1,1,1,2,0,0,0,0,1,2,0,1,0,1,1,4,2,0,1,0,1,5,0,0,1,0,0,0,1,0,0,1,2,27,1,1,0,1,1,0,0,98,0,0, حركة الشعب:1  حركة النهضة:1  نداء تونس:1  
5,6,6,64,1,374,285,400,0,115,115,285,400,0,0,223,36,26,285,0,False,18:50,20:55,1,3,0,1,0,1,0,2,2,9,21,4,0,0,0,0,1,2,1,0,1,0,1,1,0,1,0,0,1,2,4,5,1,1,1,0,0,2,1,2,0,1,1,0,5,5,0,0,21,4,0,0,0,0,2,2,110,0,0,العمل التونسي:1  حركة النهضة:1  نداء تونس:1  
