circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أحرار جندوبة,أمل جندوبة,افاق تنموية,الأئتلاف الديمقراطي للعمل والتنمي,الاتحاد الوطني الحر,الأخوة والوفاق لضمان السلم والرقي,الاتحاد من أجل تونس,الانطلاق,التحالف الديمقراطي,التضامن من اجل التنمية,التكتل من أجل العمل والحريات,التنميه و العدالة والتنمية,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحرية والتنمية,الحزب الاشتراكي,الحزب الجمهوري,الحزب الجمهوري المغاربي,الحزب الشعبي التقدمي,الخبرة هي هي الحل,الخضراء أمنا,الربيع العربي لتحقيق السيادة الأقتصادية,الشباب,الشروق,العبور,الكرامة,المؤتمر الشعبي,المؤتمر من اجل الجمهورية,المبادرة,النور للديمقراطية والتنمية,اولاد بلاد ,بلاريجيا,تيار المحبة,جندوبة اولا,حركة التونسي,حركة الدمقراطيين الأجتماعيين,حركة الديمقراطين الأشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حرية بديل,حرية وكرامة ,حزب الأمان,حزب البناء الوطني,حزب الجبهة الوطنية التونسية,حزب الغد,حزب المجد,حزب الوحدة,حزب صوت شعب تونس,سوق الأربعاء,شمس أمل خمير,صدى الشمال,صوت الفلاحين,صوت المرجان,عندي امل,فريقية,لدينا حلم ,observers
6,5,8,120,1,234,111,300,0,189,189,111,300,0,0,93,9,9,111,0,True,"18,10",20,0,1,0,2,0,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,2,0,2,0,0,0,2,2,35,0,0,1,1,0,0,1,1,5,1,0,2,7,6,8,1,0,1,الجبهة الشعبية:  حركة النهضة:  
6,5,8,119,1,113,46,200,0,155,155,46,201,1,0,41,4,1,46,0,True,"18,21","19,26",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,2,1,1,0,1,1,1,0,4,9,1,1,1,0,0,0,1,0,0,0,0,5,1,0,0,1,0,0,حركة النهضة:  الجبهة الشعبية:  حركة نداء تونس:  
6,5,8,118,1,291,156,400,0,244,244,156,400,0,0,136,19,1,156,0,False,18h36,20h,0,4,0,3,5,9,0,2,0,0,1,0,2,1,4,0,2,4,2,1,1,1,1,0,3,2,1,1,2,0,1,1,0,0,4,0,4,0,1,1,10,31,0,0,1,4,1,2,2,3,3,1,0,3,7,1,1,1,0,1,حركة النهضة:  
6,5,8,117,1,371,202,400,0,198,198,202,400,0,0,174,12,16,202,0,False,"18,30","20,05",1,2,2,2,0,3,1,7,0,1,1,0,0,0,2,1,0,0,0,1,3,0,3,2,4,1,0,2,2,0,2,0,0,2,0,3,2,0,1,0,24,16,1,0,1,0,0,3,0,1,2,0,2,52,14,2,1,2,2,0,شمس أمل خمير:  حركة النهضة:  
6,5,7,116,1,348,258,400,0,142,142,258,400,0,0,207,23,28,258,0,True,18h10,,2,0,0,2,2,4,1,0,3,0,0,2,0,1,5,0,1,1,0,0,2,0,6,0,1,1,2,0,0,0,2,1,1,2,2,1,0,0,1,2,48,69,2,2,1,0,0,2,2,1,1,0,2,0,3,12,12,1,1,0,حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  
6,5,6,115,1,342,236,400,1,164,165,235,400,0,1,202,27,6,235,0,True,"18,30","20,30",6,1,2,0,3,2,0,0,0,1,1,2,0,2,11,1,1,2,2,1,0,2,0,3,2,1,1,1,0,1,2,0,2,1,0,1,1,1,1,2,35,33,1,0,0,1,0,1,3,0,3,2,0,3,4,2,48,2,2,2,حركة النهضة:  حركة نداء تونس:  الجبهة الشعبية:  
6,5,6,114,1,317,178,400,0,222,222,178,400,0,0,157,12,9,178,0,False,18h15,19h30,0,2,1,0,0,2,2,0,0,2,0,2,1,1,2,1,0,1,0,1,0,1,0,1,3,1,2,1,0,1,1,0,0,0,1,1,3,0,1,1,20,75,0,0,1,1,1,0,3,0,5,0,0,2,2,5,2,2,0,2,حركة النهضة:  حركة نداء تونس:  
6,5,6,113,2,449,196,500,0,304,304,196,500,0,0,176,19,1,196,0,False,1800,2010,0,2,5,1,0,10,0,2,0,0,0,1,0,1,5,2,0,2,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,52,36,4,1,0,0,0,1,1,1,0,0,1,7,2,5,24,1,1,0,حركة نداء تونس:1  حركة النهضة:1  أمل جندوبة:1  
6,5,6,113,1,450,290,500,1,210,211,289,500,0,1,222,31,36,289,0,False,1810,2040,0,1,5,2,1,6,0,3,1,1,1,3,0,3,4,3,2,2,1,0,2,1,1,1,4,1,2,4,2,0,4,0,3,0,0,2,0,2,0,3,37,42,4,2,1,2,1,1,1,3,1,3,1,4,6,9,28,1,1,0,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  أمل جندوبة:1  
6,5,6,112,1,485,305,600,0,295,295,305,600,0,0,260,28,17,305,0,False,1830,2110,2,1,16,0,1,6,1,6,0,0,1,2,1,2,17,2,1,1,2,0,2,1,1,1,1,3,1,0,2,0,1,0,1,1,5,2,0,1,3,1,58,45,3,1,0,1,0,2,2,1,3,2,3,0,5,2,37,2,3,1,حركة نداء تونس:1  الجبهة الشعبية:1  الأتحاد الوطني الحر:1  أمل جندوبة:1  حركة النهضة:1  
6,5,5,111,2,479,244,600,0,356,356,244,600,0,0,236,4,4,244,0,False,1810,2010,2,1,1,1,0,12,0,3,0,0,1,2,0,3,5,0,1,2,4,1,1,0,0,0,0,2,0,1,0,2,2,0,1,1,0,1,1,0,1,7,49,56,0,4,0,0,0,1,1,1,2,0,0,1,1,3,56,1,1,0,حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  
6,5,5,111,1,480,324,600,0,276,276,324,600,0,0,281,38,5,324,0,False,1816,2100,2,5,2,2,1,13,2,2,0,0,0,2,1,3,13,3,2,0,1,0,2,0,3,2,4,1,2,5,0,2,7,1,1,0,0,0,1,1,7,7,34,55,3,8,1,1,3,4,2,0,5,1,1,0,4,6,46,4,1,2,حركة النهضة:1  الجبهة الشعبية:1  حركة نداء تونس:1  الأتحاد الوطني الحر:1  
6,5,5,110,5,499,261,500,0,239,239,261,500,0,0,259,1,1,261,0,True,18:20,20:33,1,0,2,0,0,37,0,2,0,1,0,0,0,2,17,0,0,0,1,0,0,0,1,0,0,0,0,1,0,9,1,0,0,0,0,2,3,0,0,1,52,51,0,0,0,0,0,0,2,0,0,0,0,0,2,0,70,0,0,1,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  الأتحاد الوطني الحر:2  
6,5,5,110,4,499,314,600,0,286,286,314,600,0,0,302,7,5,314,0,True,18:30,21:05,1,4,2,0,0,10,1,1,0,0,0,0,2,0,19,1,1,2,2,0,0,0,0,0,1,0,0,1,1,5,3,2,0,0,2,0,0,0,0,2,57,56,1,0,1,0,1,1,1,0,0,0,1,0,3,2,113,2,0,0,حركة نداء تونس:1  حركة النهضة:1  الأتحاد الوطني الحر:1  الجبهة الشعبية:1  
6,5,5,110,3,499,381,600,9,216,219,381,600,0,0,364,9,8,381,0,False,18:30,21:00,1,3,5,0,1,18,0,5,3,0,0,1,0,1,19,0,0,2,0,1,0,1,1,0,0,1,2,1,1,0,3,0,12,0,1,2,0,2,0,10,83,72,2,0,1,1,2,2,2,0,1,2,0,0,3,2,106,0,0,0,حركة نداء تونس:1  الجبهة الشعبية:1  الأتحاد الوطني الحر:1  حركة النهضة:1  صدى الشمال:1  
6,5,5,110,2,499,338,600,0,262,262,338,600,0,0,303,19,16,338,0,False,18:10,21:00,0,1,2,3,7,14,1,4,3,2,1,1,1,4,14,2,3,1,2,0,1,0,4,1,1,0,2,4,2,4,2,2,2,0,2,3,0,1,1,3,53,54,5,3,1,2,1,0,3,1,2,0,0,0,1,3,69,2,1,1,حركة نداء تونس:1  حركة النهضة:1  الأتحاد الوطني الحر:1  الجبهة الشعبية:1  
6,5,5,110,1,499,370,600,1,229,230,370,600,0,0,292,24,54,370,0,False,18:15,22:00,3,5,6,1,0,9,0,5,0,0,0,1,2,1,8,2,7,3,3,0,0,1,0,3,1,0,3,1,0,6,0,0,1,1,2,2,0,1,0,3,34,72,8,2,3,1,1,3,4,2,1,1,3,2,2,5,62,1,1,2,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  
6,5,4,109,1,120,60,200,0,140,140,60,200,0,0,45,15,0,60,0,True,18:10,19:08,0,0,10,0,0,0,0,1,1,0,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,2,0,2,0,1,0,1,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,2,حركة النهضة:1  
6,5,4,108,1,197,120,300,0,180,180,120,300,0,0,98,21,1,120,0,True,18:05,20:00,0,2,1,1,0,2,0,0,2,0,0,1,1,0,8,0,1,0,0,0,0,2,0,0,1,0,2,0,0,5,1,0,0,0,1,0,0,0,0,2,12,22,2,3,2,0,0,2,0,0,1,2,2,2,7,2,5,1,0,0,حركة نداء تونس:2  حركة النهضة:1  
6,5,4,107,1,340,144,400,0,256,256,144,400,0,0,106,34,4,144,0,True,18:16,19:30,1,2,5,1,1,0,0,1,1,1,0,0,1,1,6,1,1,1,1,0,2,0,1,0,0,2,0,2,2,1,0,0,0,0,1,1,0,0,3,0,18,24,2,1,0,0,0,0,0,2,0,2,2,3,0,8,2,1,0,1,حركة نداء تونس:2  حركة النهضة:2  
6,5,4,106,2,319,109,400,0,291,291,109,400,0,0,96,3,10,109,0,False,1800,1925,0,0,1,0,1,0,0,0,1,0,0,1,0,0,4,0,1,1,1,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1,35,19,1,0,0,2,0,1,1,0,0,0,1,5,0,3,7,0,0,0,حركة النهضة:1  حركة نداء تونس:2  
6,5,4,106,1,319,198,400,4,198,202,198,400,0,0,165,23,10,198,0,False,1815,1917,1,4,4,2,1,5,1,0,1,1,0,1,0,4,5,0,0,1,2,1,5,1,2,1,6,2,2,3,1,0,1,0,2,1,2,0,1,3,1,0,31,13,5,3,2,2,1,3,4,0,1,0,1,8,3,6,13,0,0,1,حركة نداء تونس:1  
6,5,3,105,2,499,214,600,0,386,386,214,600,0,0,206,0,8,214,0,True,1815,,3,2,3,0,0,12,0,1,2,0,0,2,0,1,17,0,0,0,2,0,0,1,1,0,1,0,0,2,0,4,4,0,0,0,1,6,0,0,0,2,49,52,0,0,0,0,1,1,2,0,1,3,0,1,7,2,18,0,0,2,الجبهة الشعبية:1  حركة النهضة:1  حركة نداء تونس:1  
6,5,3,105,1,499,315,600,1,284,285,315,600,0,0,258,8,49,315,0,True,1815,2104,8,1,1,0,3,3,1,2,3,0,0,1,1,0,22,1,2,2,2,3,2,1,0,0,0,3,2,1,1,3,1,0,0,0,2,0,1,1,1,0,65,67,3,0,1,0,0,1,4,0,6,1,1,3,4,5,17,4,0,1,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
6,5,3,104,4,485,275,600,0,325,325,275,600,0,0,272,1,2,275,0,False,1816,1945,1,1,1,0,0,16,0,2,2,2,0,3,0,0,16,0,0,6,1,1,0,0,1,0,0,0,0,0,0,3,2,0,0,1,2,1,0,0,1,3,49,111,2,0,0,0,1,3,0,0,1,1,0,0,15,2,21,0,0,0,حركة نداء تونس:1  حركة النهضة:1  المبادرة:1  
6,5,3,104,3,486,322,600,2,277,279,321,600,0,0,314,4,3,321,0,False,1800,2100,1,1,3,1,0,11,2,2,3,5,0,3,0,2,13,0,0,2,3,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,3,1,0,0,1,4,88,114,1,0,0,0,0,3,0,1,2,0,0,0,8,3,26,1,0,2,حركة النهضة:1  الجبهة الشعبية:1  حركة نداء تونس:1  حركة الشعب:1  
6,5,3,104,2,486,383,600,0,217,217,383,0,0,0,358,13,12,383,0,False,1830,2140,1,0,1,0,5,6,0,4,3,5,0,1,0,1,18,0,0,2,2,0,0,0,3,0,0,0,0,1,0,2,3,2,2,0,2,3,0,0,0,2,114,124,4,1,0,0,0,4,3,0,3,2,0,1,8,2,23,0,0,0,الأتحاد الوطني الحر:1  صدى الشمال:1  الجبهة الشعبية:1  حركة نداء تونس:1  حركة النهضة:1  
6,5,3,104,1,486,370,600,2,228,230,370,600,0,0,344,20,6,370,0,True,1800,2100,4,2,4,2,2,6,0,1,3,4,2,2,0,1,17,0,2,2,3,0,2,1,2,0,1,1,1,1,1,2,1,1,0,2,3,2,1,1,0,6,76,131,3,1,1,0,0,1,1,0,3,1,1,1,12,10,14,2,0,0,حركة نداء تونس:1  حركة النهضة:1  التكتل من أجل العمل والحريات:1  
6,5,3,103,3,548,237,600,0,363,363,237,600,0,0,226,4,7,237,0,False,1830,2015,1,2,2,0,0,7,0,0,0,0,0,0,0,2,10,0,1,0,1,0,1,0,1,0,1,0,0,1,0,3,3,0,0,0,1,1,0,0,0,1,105,49,1,0,1,0,0,0,0,0,1,0,0,2,5,2,21,0,0,0,حركة نداء تونس:1  حركة النهضة:1  
6,5,3,103,2,548,371,600,0,229,229,371,600,0,0,335,29,7,371,0,False,1835,2110,0,12,3,0,2,3,0,1,2,1,0,2,0,0,17,0,3,0,3,0,2,0,0,0,3,0,0,0,1,4,1,1,1,0,1,3,0,0,1,5,156,59,1,1,1,0,0,1,1,0,5,1,0,3,5,2,26,1,0,0,حركة نداء تونس:2  حركة النهضة:1  
6,5,3,103,1,548,379,600,0,221,221,379,600,0,0,253,68,58,379,0,True,1815,2100,2,10,3,2,2,4,2,3,2,2,1,2,1,4,11,7,6,3,3,0,2,2,4,0,6,0,1,2,1,0,2,1,1,1,1,3,0,3,1,4,43,56,1,0,0,2,0,2,4,2,3,4,1,6,7,7,8,0,1,1,حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  
6,5,2,102,1,459,272,500,0,228,228,272,500,0,0,206,61,5,272,0,True,1900,2039,1,1,7,0,0,2,0,2,2,0,2,1,2,2,6,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,80,47,0,0,1,0,0,3,2,2,1,0,2,0,7,7,10,1,0,1,حركة نداء تونس:1  حركة النهضة:1  
6,5,2,101,2,568,240,600,0,360,360,240,600,0,0,234,4,2,240,0,False,18.00,19.30,2,1,5,0,1,8,0,1,0,3,1,5,1,2,18,0,0,0,3,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,1,0,1,0,0,15,51,81,1,1,2,0,0,6,0,0,1,1,0,1,4,2,8,0,0,0,حركة نداء تونس:1  صدى الشمال:1  حركة الشعب:1  حركة النهضة:1  التكتل من أجل العمل والحريات:1  
6,5,2,101,1,569,335,600,0,265,265,335,600,0,0,277,44,14,335,0,False,18.00,20.50,2,3,3,1,6,2,0,2,3,0,2,5,1,0,8,0,1,0,3,1,2,1,1,0,2,3,0,3,0,0,2,0,1,1,2,0,0,1,0,9,39,107,2,2,2,1,1,2,3,1,6,0,2,0,12,6,19,1,0,0,حركة النهضة:1  المبادرة:1  صدى الشمال:1  الجبهة الشعبية:1  
6,5,2,100,2,430,157,500,0,343,343,157,500,0,0,150,3,4,157,0,True,18.00,20.35,2,3,1,0,0,4,0,0,0,0,1,1,0,1,9,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,1,0,0,0,4,37,48,1,0,1,0,1,0,1,0,2,0,1,0,13,0,9,1,0,0,حركة النهضة:1  المبادرة:1  حركة نداء تونس:1  صدى الشمال:1  
6,5,2,100,1,430,254,500,0,246,246,254,500,0,0,213,36,5,254,0,True,1820,2100,0,1,4,0,3,0,0,1,2,0,1,1,0,3,7,3,5,0,2,1,2,0,4,0,2,1,1,3,1,2,2,0,1,1,1,1,4,0,2,9,28,57,0,0,1,0,0,1,2,2,4,2,1,1,16,13,8,4,2,0,الجبهة الشعبية:1  حركة نداء تونس:1  حركة الشعب:1  حركة النهضة:1  
