circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,الاتحاد الوطني الحر,الاحرار,الارض,الازدهار,الامل في الحياة,البديل للتشغيل والعدالة والاجتماعية,التحالف الديمقراطي,التحدي,التشغيل والتنمية,التشغيل والكرامة,التكتل من اجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الربيع العربي,السلام,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,النور للديمقراطية والتنمية,الوعد الصادق,الوفاء لمشروع الشهيد,تيار المحبة,حركة الجمهورية,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الامان,شباب بلادي,صوت الفلاحين,صوت المستقبل,صوت شعب تونس,ما يرده الشعب,من اجل تحقيق سلطة الشعب,observers
8,7,9,120,1,214,104,300,0,196,196,104,300,0,0,96,4,4,104,0,False,1800,2015,0,2,3,0,0,4,0,0,0,0,0,1,0,2,2,2,2,7,0,1,0,1,0,0,1,1,3,0,2,29,20,5,1,2,0,1,3,0,1,حركة نداء تونس:2  حركة النهضة:2  
8,7,9,119,1,155,96,200,0,104,104,96,200,0,0,81,10,5,96,0,True,1820,1912,1,1,4,1,1,0,0,0,0,1,0,1,0,0,1,0,1,21,0,2,0,0,0,1,4,1,0,0,0,9,22,1,0,3,0,1,1,0,0,حركة النهضة:2  حركة نداء تونس:2  
8,7,9,118,2,385,236,500,0,264,264,236,500,0,0,226,4,6,236,0,True,19.00,20.30,2,2,12,0,0,0,0,0,0,0,2,3,2,2,21,1,0,38,2,2,0,1,11,0,9,0,1,13,3,47,46,3,0,2,0,1,1,1,0,حركة نداء تونس:1  الحركة الدستورية:1  الاتحاد الوطني الحر:1  الوعد الصادق:1  حركة النهضة:1  الحزب الجمهوري:1  
8,7,9,118,1,386,294,500,1,205,206,294,500,0,0,250,39,5,294,0,False,18.15,20.30,0,2,9,0,2,0,0,1,1,6,3,4,2,8,3,2,3,40,1,4,1,2,3,2,8,1,4,19,2,51,49,2,0,6,1,1,2,3,2,حركة النهضة:1  حركة نداء تونس:1  الحزب الجمهوري:1  
8,7,9,117,2,349,180,400,0,220,220,180,400,0,0,175,5,0,180,0,True,18.48,20.00,0,0,17,0,1,1,0,0,1,0,0,1,0,0,10,0,0,34,0,1,0,2,1,2,1,0,1,1,1,83,17,0,0,0,0,0,0,0,0,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  الحزب الجمهوري:1  
8,7,9,117,1,349,221,400,0,179,179,221,400,0,0,184,29,8,221,0,False,18h,20h40,2,3,12,2,1,0,0,0,2,0,0,7,1,1,5,1,2,26,0,0,0,1,6,4,0,1,1,1,0,67,17,2,2,6,1,0,6,2,2,حركة نداء تونس:1  الحزب الجمهوري:1  حركة النهضة:1  
8,7,8,116,1,416,179,500,0,321,321,179,500,0,0,147,10,22,179,0,True,18h,20h35,1,3,14,2,2,2,1,0,3,1,1,2,2,2,3,1,1,5,1,4,2,2,3,0,2,1,1,1,3,25,37,6,1,3,1,1,5,1,1,حركة نداء تونس:2  حركة النهضة:2  
8,7,8,115,1,504,267,600,10,324,334,266,600,0,1,239,22,5,266,0,True,18h40,22h40,2,4,29,2,2,0,2,1,1,2,2,6,1,0,24,1,2,12,2,4,6,0,2,0,2,0,4,2,3,38,63,1,1,3,3,0,6,2,4,حركة نداء تونس:2  الجبهة الشعبية:1  حركة النهضة:2  
8,7,7,114,2,447,293,500,0,207,207,293,500,0,0,270,23,0,293,0,False,18h15,21h,1,4,4,0,0,0,0,0,2,3,0,7,1,2,53,3,3,71,0,1,0,0,0,0,4,0,0,4,3,35,62,2,0,1,2,1,0,1,0,حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:2  
8,7,7,114,1,448,360,500,2,138,140,360,500,0,0,317,32,11,360,0,True,18:23,20:58,2,1,7,4,1,1,0,1,4,3,1,8,1,3,35,0,5,72,2,11,4,2,1,0,4,1,1,2,2,24,93,3,1,8,1,1,0,6,1,حركة نداء تونس:2  حركة النهضة:  آفاق تونس:  :  
