circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,tampon,AfekTounes,UPL,PopularFront,Ennahdha,NidaTounes,circ_id,circ_name,deleg_id,deleg_name,sdeleg_id,center_id,center_name,station_id,latitude,longitude
3,1,1,1,1,575,490,700,1,209,210,490,700,0,0,480,6,4,490,0,False,8,5,31,58,302,3,Ben Arous,1,Ezzahra,1,1,E.P.AV.LA REPUBLIQUE ZAHRAA VILLE,1,36.746835,10.309308
3,1,1,1,2,575,501,700,1,198,199,501,700,0,0,486,8,7,501,0,True,11,10,27,78,302,3,Ben Arous,1,Ezzahra,1,1,E.P.AV.LA REPUBLIQUE ZAHRAA VILLE,2,36.746835,10.309308
3,1,1,1,3,575,516,703,1,186,187,516,703,0,0,506,4,6,516,0,False,20,11,34,90,284,3,Ben Arous,1,Ezzahra,1,1,E.P.AV.LA REPUBLIQUE ZAHRAA VILLE,3,36.746835,10.309308
3,1,1,1,4,575,478,700,0,222,222,478,700,0,0,473,4,1,478,0,True,16,21,27,95,241,3,Ben Arous,1,Ezzahra,1,1,E.P.AV.LA REPUBLIQUE ZAHRAA VILLE,4,36.746835,10.309308
3,1,1,1,5,575,520,700,3,177,180,520,700,0,0,512,8,0,520,0,False,19,17,25,92,280,3,Ben Arous,1,Ezzahra,1,1,E.P.AV.LA REPUBLIQUE ZAHRAA VILLE,5,36.746835,10.309308
3,1,1,1,6,575,457,700,1,242,243,457,700,0,0,453,2,2,457,0,False,29,16,26,64,256,3,Ben Arous,1,Ezzahra,1,1,E.P.AV.LA REPUBLIQUE ZAHRAA VILLE,6,36.746835,10.309308
3,1,1,1,7,575,478,700,1,222,223,477,700,0,1,476,1,0,477,0,True,28,14,29,63,266,3,Ben Arous,1,Ezzahra,1,1,E.P.AV.LA REPUBLIQUE ZAHRAA VILLE,7,36.746835,10.309308
3,1,1,1,8,576,473,700,0,227,227,473,700,0,0,468,4,1,473,0,False,25,21,55,51,256,3,Ben Arous,1,Ezzahra,1,1,E.P.AV.LA REPUBLIQUE ZAHRAA VILLE,8,36.746835,10.309308
3,1,2,2,1,558,469,600,1,130,131,469,600,1,0,451,15,3,469,0,False,14,5,14,96,243,3,Ben Arous,1,Ezzahra,2,2,E.P.RUE KHAZNADAR -CITE EL HABIB,1,36.739741,10.311604
3,1,2,2,2,558,487,600,0,113,0,487,487,113,0,469,12,6,487,0,False,13,13,21,86,266,3,Ben Arous,1,Ezzahra,2,2,E.P.RUE KHAZNADAR -CITE EL HABIB,2,36.739741,10.311604
3,1,2,2,3,558,478,600,5,117,122,478,600,0,0,456,14,8,478,0,False,24,11,19,96,248,3,Ben Arous,1,Ezzahra,2,2,E.P.RUE KHAZNADAR -CITE EL HABIB,3,36.739741,10.311604
3,1,2,2,4,558,480,600,3,117,120,480,600,0,0,464,8,8,480,0,False,14,6,22,113,225,3,Ben Arous,1,Ezzahra,2,2,E.P.RUE KHAZNADAR -CITE EL HABIB,4,36.739741,10.311604
3,1,2,2,5,558,487,600,1,112,113,487,600,0,0,484,3,0,487,0,False,22,13,17,128,232,3,Ben Arous,1,Ezzahra,2,2,E.P.RUE KHAZNADAR -CITE EL HABIB,5,36.739741,10.311604
3,1,2,2,6,558,432,600,0,168,168,432,600,0,0,430,0,2,432,0,False,23,15,17,98,212,3,Ben Arous,1,Ezzahra,2,2,E.P.RUE KHAZNADAR -CITE EL HABIB,6,36.739741,10.311604
3,1,2,2,7,558,448,595,0,147,147,448,595,0,0,441,1,6,448,0,False,20,15,14,94,236,3,Ben Arous,1,Ezzahra,2,2,E.P.RUE KHAZNADAR -CITE EL HABIB,7,36.739741,10.311604
3,1,2,2,8,558,445,600,2,153,155,445,600,0,0,434,6,5,445,0,True,31,31,36,64,214,3,Ben Arous,1,Ezzahra,2,2,E.P.RUE KHAZNADAR -CITE EL HABIB,8,36.739741,10.311604
3,1,2,3,1,530,418,600,0,182,182,418,600,0,0,388,16,14,418,0,False,15,8,12,68,232,3,Ben Arous,1,Ezzahra,2,3,E.P.CITE EL HABIB EZZAHRA,1,36.73761,10.316702
3,1,2,3,2,530,427,600,1,173,174,426,600,0,1,422,2,2,426,0,False,21,6,16,81,243,3,Ben Arous,1,Ezzahra,2,3,E.P.CITE EL HABIB EZZAHRA,2,36.73761,10.316702
3,1,2,3,3,530,408,600,2,190,192,408,600,0,0,399,8,1,408,0,False,10,13,26,87,178,3,Ben Arous,1,Ezzahra,2,3,E.P.CITE EL HABIB EZZAHRA,3,36.73761,10.316702
3,1,2,3,4,530,434,600,0,166,166,434,600,0,0,432,1,1,434,0,False,8,12,24,101,232,3,Ben Arous,1,Ezzahra,2,3,E.P.CITE EL HABIB EZZAHRA,4,36.73761,10.316702
3,1,2,3,5,530,386,600,0,215,215,385,600,0,1,383,1,1,385,0,True,23,23,17,65,206,3,Ben Arous,1,Ezzahra,2,3,E.P.CITE EL HABIB EZZAHRA,5,36.73761,10.316702
3,1,2,3,6,530,395,600,3,202,205,395,600,0,0,394,1,0,395,0,False,13,20,16,73,216,3,Ben Arous,1,Ezzahra,2,3,E.P.CITE EL HABIB EZZAHRA,6,36.73761,10.316702
3,1,2,3,7,530,367,600,1,232,233,367,600,0,0,361,0,6,367,0,False,17,24,28,50,195,3,Ben Arous,1,Ezzahra,2,3,E.P.CITE EL HABIB EZZAHRA,7,36.73761,10.316702
3,1,3,4,1,527,448,600,2,150,152,448,600,0,0,425,15,8,448,0,False,7,9,15,83,245,3,Ben Arous,1,Ezzahra,3,4,E.P.AV.FARHAT HACHED ZAHRAA 18 JAN,1,36.747024,10.305178
3,1,3,4,4,527,437,610,2,171,173,437,610,10,0,432,2,3,437,0,False,14,12,22,94,209,3,Ben Arous,1,Ezzahra,3,4,E.P.AV.FARHAT HACHED ZAHRAA 18 JAN,4,36.747024,10.305178
3,1,3,4,8,525,420,600,5,174,179,420,598,1,0,415,1,4,420,0,False,29,30,27,62,209,3,Ben Arous,1,Ezzahra,3,4,E.P.AV.FARHAT HACHED ZAHRAA 18 JAN,8,36.747024,10.305178
3,1,3,5,1,582,449,700,1,252,253,447,700,0,2,434,4,9,447,0,False,11,16,23,79,235,3,Ben Arous,1,Ezzahra,3,5,C. Mongi Slim Ezzahra - 18 janvier,1,36.747143,10.300902
3,1,3,5,2,582,422,700,0,278,278,422,700,0,0,413,4,5,422,0,False,11,17,21,74,234,3,Ben Arous,1,Ezzahra,3,5,C. Mongi Slim Ezzahra - 18 janvier,2,36.747143,10.300902
3,1,4,6,1,521,419,600,4,179,183,417,600,0,2,367,31,19,417,0,False,7,14,8,87,151,3,Ben Arous,1,Ezzahra,4,6,E.P. BORJ EL WAZIR ZAHRAA,1,36.74020791,10.28461754
3,1,4,6,2,521,386,600,0,214,214,386,600,0,0,371,13,2,386,0,False,8,25,21,108,138,3,Ben Arous,1,Ezzahra,4,6,E.P. BORJ EL WAZIR ZAHRAA,2,36.74020791,10.28461754
3,1,4,6,3,520,339,600,1,260,261,339,600,0,0,324,6,9,339,0,False,3,18,15,101,111,3,Ben Arous,1,Ezzahra,4,6,E.P. BORJ EL WAZIR ZAHRAA,3,36.74020791,10.28461754
3,3,1,23,1,538,452,600,5,149,154,446,600,0,6,425,11,10,446,0,False,11,9,10,75,230,3,Ben Arous,3,Medina Jedida,1,23,E.P.2 MARS 34/ NLLE MADINA1,1,36.746591,10.256069
3,3,1,23,2,538,476,600,0,124,124,476,600,0,0,462,11,3,476,0,False,18,16,10,98,231,3,Ben Arous,3,Medina Jedida,1,23,E.P.2 MARS 34/ NLLE MADINA1,2,36.746591,10.256069
3,3,1,23,3,538,442,600,1,157,158,442,600,0,0,432,3,7,442,0,False,16,18,22,114,188,3,Ben Arous,3,Medina Jedida,1,23,E.P.2 MARS 34/ NLLE MADINA1,3,36.746591,10.256069
