circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,sebsi,marzouki,observers
3,9,8,96,3,470,279,500,0,221,279,500,0,0,271,6,2,279,0,1830,1913,True,128,143,sebsi:1  marzouki:1  
3,9,8,96,2,471,319,500,0,181,319,500,0,0,315,3,1,319,0,1820,1910,True,158,157,sebsi:1  marzouki:1  
3,9,8,96,1,471,358,500,0,142,358,500,0,0,350,5,3,358,0,1830,1930,True,196,154,sebsi:1  marzouki:1  
3,9,7,95,6,581,404,700,0,296,404,700,0,0,392,10,2,404,0,1815,1930,True,216,176,sebsi:1  marzouki:1  
3,9,7,95,5,581,437,702,0,265,437,702,0,0,427,5,5,437,0,1820,1940,True,225,202,sebsi:1  marzouki:1  
3,9,7,95,4,581,435,701,0,266,435,701,0,0,427,1,7,435,0,1830,1930,True,270,157,sebsi:1  marzouki:1  
3,9,7,95,3,581,451,700,0,249,451,700,0,0,444,4,3,451,0,1836,1947,True,262,182,sebsi:1  marzouki:1  
3,9,7,95,2,581,488,700,0,212,488,700,0,0,481,3,4,488,0,1810,2000,True,311,170,sebsi:1  marzouki:1  
3,9,7,95,1,581,510,699,3,186,510,699,0,0,498,9,3,510,0,1820,1936,True,364,134,sebsi:1  marzouki:1  
3,9,6,94,3,540,369,600,0,231,369,600,0,0,356,8,5,369,0,1822,2007,True,218,138,sebsi:1  marzouki:1  
3,9,6,94,2,541,399,600,0,201,399,600,0,0,393,3,3,399,0,1830,1945,True,234,159,sebsi:1  marzouki:1  
3,9,6,93,2,382,296,500,0,204,296,500,0,0,280,12,4,296,0,1820,1910,True,197,83,sebsi:1  marzouki:1  
3,9,6,93,1,383,332,500,0,168,332,500,0,0,321,8,3,332,0,1800,1915,True,259,62,sebsi:1  marzouki:1  
3,9,5,92,3,490,328,600,0,272,328,600,0,0,317,6,5,328,0,1837,1920,True,172,145,sebsi:1  marzouki:1  
3,9,5,92,1,490,403,600,0,197,403,600,0,0,389,9,5,403,0,1830,1930,True,298,91,sebsi:1  marzouki:1  
3,9,4,91,5,547,327,600,1,272,327,600,0,0,315,5,7,327,0,1830,,True,164,151,sebsi:1  marzouki:1  
3,9,4,91,4,547,351,600,0,249,351,600,0,0,347,4,0,351,0,1800,1920,False,206,141,sebsi:1  marzouki:1  
3,9,4,91,2,547,411,600,3,186,411,600,0,0,401,3,7,411,0,1830,1940,True,237,164,sebsi:1  marzouki:1  
3,9,4,91,1,547,418,600,0,182,418,600,0,0,409,6,3,418,0,1850,2015,False,266,143,sebsi:1  marzouki:1  
3,9,4,90,5,530,338,600,0,262,338,600,0,0,322,11,5,338,0,1810,2219,False,188,134,sebsi:1  marzouki:1  
3,9,4,90,4,534,377,600,1,222,377,600,0,0,371,4,2,377,0,1800,1920,True,211,160,sebsi:1  marzouki:1  
3,9,4,90,3,534,408,584,0,176,408,584,0,0,400,4,4,408,0,1816,1922,True,216,184,sebsi:1  marzouki:1  
